Index,Question,Response,Answer,Accuracy
0,"A 50-year-old patient comes to the physician because of blisters on their forearm that appeared 3 days ago. The patient also reports pain in their left cheek when eating and pain during sexual intercourse for the past week. They have not been sick for the past 6 months. They recently started hiking in the woods on weekends with their child a couple of months ago but have been careful to avoid poison ivy. The patient has a history of hypertension and osteoarthritis. They recently started taking captopril and stopped taking meloxicam 2 weeks ago. They have a family history of pernicious anemia and Graves' disease. The patient's vital signs are within normal limits. Examination reveals multiple, flaccid blisters on the volar surface of the forearm and ulcers on the buccal, gingival, and vulvar mucosa. The epidermis on the forearm separates when the skin is lightly stroked. The total body surface area involvement of the blisters is estimated to be 10%. The remainder of the examination shows no abnormalities. Which of the following is the most likely diagnosis?",Pemphigus vulgaris.,Pemphigus vulgaris,accurate
1,"A 32-year-old presents to their physician concerned about wet spots on the inside part of their dress shirts, which they think may be coming from one of their breasts. They state that it is painless and that the discharge is usually blood-tinged. They deny any history of malignancy in their family and state that they have been having regular periods since they first started at age 13. They do not have any children. The patient has normal vitals and denies any cough or fever. On exam, there are no palpable masses, and the patient does not have any erythema or induration. What is the most likely diagnosis?",Intraductal papilloma.,Intraductal papilloma,accurate
2,"A 59-year-old individual comes to the physician because of worsening fatigue and a 1-week history of gingival bleeding. This individual has also had decreased appetite and a 5-kg (11-lb) weight loss over the past month. Over-the-counter vitamin supplements have been tried with no relief of symptoms. They appear pale. Their temperature is 37.8° C (100.0°F), pulse is 72/min, and blood pressure is 120/70 mm Hg. Physical examination shows numerous petechial lesions over the upper and lower extremities. A bone marrow smear is shown. Which of the following additional findings is most likely in this patient?",Pancytopenia.,Peroxidase-positive granules,Inaccurate
3,"A 25-year-old individual presents to their primary care clinic for a general checkup. They state they've been a bit more fatigued lately during finals season but are otherwise well. Their parent and sibling have hypothyroidism. They deny fatigue, weight gain, cold intolerance, constipation, heavy or irregular menses, or changes in the quality of their hair, skin, or nails. Physical exam is unremarkable. Laboratory studies are ordered as seen below.

Hemoglobin: 14 g/dL
Hematocrit: 40%
Leukocyte count: 5,500/mm^3 with normal differential
Platelet count: 188,000/mm^3

Serum:
Na+: 139 mEq/L
Cl-: 102 mEq/L
K+: 4.4 mEq/L
HCO3-: 24 mEq/L
BUN: 20 mg/dL
Glucose: 99 mg/dL
Creatinine: 0.8 mg/dL
Ca2+: 10.2 mg/dL
Antithyroid peroxidase Ab: Positive
AST: 12 U/L
ALT: 10 U/L

Which of the following laboratory values is most likely in this patient?",TSH: Elevated,Normal TSH and normal T4,inaccurate
4,"A 37-year-old patient, gravida 2, para 1, at 35 weeks' gestation is brought to the emergency department for the evaluation of continuous, dark, vaginal bleeding and abdominal pain for one hour. The first child was delivered by lower segment transverse cesarean section because of a nonreassuring fetal heart rate. The patient has a history of hypertension and has been noncompliant with their hypertensive regimen. Current medications include methyldopa, folic acid, and a multivitamin. Pulse is 90/min, respirations are 16/min, and blood pressure is 145/90 mm Hg. The abdomen is tender, and hypertonic contractions can be felt. There is blood on the vulva, the introitus, and on the medial aspect of both thighs. The fetus is in a breech presentation. The fetal heart rate is 180/min with recurrent decelerations. Which of the following is the cause of fetal compromise?",Placental abruption.,Detachment of the placenta,Accurate
5,"A 32-year-old individual with a history of alcohol binge drinking and polysubstance use is found unresponsive in a hotel room with bottles of alcohol, oxycodone, alprazolam, amphetamine-dextroamphetamine, and tadalafil. When EMS arrives, the individual appears comatose with pinpoint pupils and oxygen saturation of 80% on room air. They are intubated at the scene and airlifted to the nearest intensive care unit. Body temperature is 95 degrees F (35 degrees C). Creatine phosphokinase is 12,000 U/L. MRI of the brain demonstrates extensive infarcts consistent with acute hypoxic ischemic injury. Which of the following is the likely culprit for the overdose?",Oxycodone.,Opioids,accurate
6,"An 11-year-old child is brought to their pediatrician by a guardian after they have complained of worsening left thumb pain for the last two weeks. The guardian reports that the patient was previously healthy. Approximately 2 weeks ago, the family cat bit the child’s thumb. The area around the bite wound then became red, hot, and slightly swollen and never healed. Earlier this week, the patient also started developing fevers that were recorded at home to be as high as 103.6°F. On exam, the patient's temperature is 102.2°F (39.0°C), blood pressure is 112/72 mmHg, pulse is 92/min, and respirations are 14/min. The patient’s left thumb is tender to touch over the proximal phalanx and the interphalangeal joint, but there is no obvious erythema or swelling. A radiograph performed in clinic is concerning for osteomyelitis at the proximal phalanx. Which of the following is the most likely cause of this patient’s condition?",Pasteurella multocida,Pasteurella multocida,accurate
7,"A 53-year-old person with a history of ulcerative colitis presents to the emergency department with a severe flare. The patient reports numerous bloody loose stools and has been febrile for two days. Vital signs are: T 101.9, HR 98, BP 121/86, RR 17, Sat 100%. Abdominal exam is notable for a markedly distended abdomen with tympani and tenderness to palpation without guarding or rebound. KUB is shown in figure A. CT scan shows a markedly dilated descending and sigmoid colon with no perforations. What is the next best step in management for this patient?",The next best step in management for this patient is intravenous corticosteroids.,IV hydrocortisone,accurate
8,"A 25-year-old individual presents with a nodule on their right foot. They first noticed the nodule last week. It has not undergone any change in size or color. They deny any history of trauma or fever. Past medical history is significant for HIV, diagnosed 6 years ago. They are currently not on antiretroviral therapy. Their last CD4+ T cell count was 0.19 x 10^9/L. They are afebrile, and their vital signs are within normal limits. On physical examination, there is a 3 cm x 4 cm nodule on the right foot, tan brown in color, non-tender, and covered with a fine scale. A biopsy of the nodule is performed, and histopathological analysis reveals the proliferation of blood vessels with overgrown endothelial cells. Histological staining of the biopsy tissue reveals gram-negative bacilli. Which of the following is the best course of treatment for this patient?",Initiate antiretroviral therapy and start treatment with doxycycline or erythromycin.,Erythromycin,Relevant
9,A 12-year-old child presents to the pediatrician after two days of tea-colored urine which appeared to coincide with the first day of junior high football. They explain that they refused to go back to practice because they were humiliated by the other players due to quick and excessive fatigue after a set of drills accompanied by pain in their muscles. A blood test revealed elevated creatine kinase and myoglobulin levels. A muscle biopsy was performed revealing large glycogen deposits and an enzyme histochemistry showed a lack of myophosphorylase activity. Which of the following reactions is not occurring in this individual?,Conversion of glycogen to glucose-1-phosphate.,Breaking down glycogen to glucose-1-phosphate,accurate
10,"A 55-year-old individual presents to the physician with complaints of 5 days of watery diarrhea, fever, and bloating. They have not noticed any blood in their stool. They state that their diet has not changed recently, and their family has been spared from diarrhea symptoms despite eating the same foods that they have been cooking at home. They have no history of recent travel outside the United States. Their only medication is high-dose omeprazole, which they have been taking daily for the past few months to alleviate their gastroesophageal reflux disease (GERD). Which of the following is the most appropriate initial test to work up this patient’s symptoms?",Stool toxin assay for Clostridium difficile.,Stool toxin assay,accurate
11,"A parent calls the pediatrician because their 7-year-old child began wetting the bed days after the birth of a new sibling. The parent punished the child for bedwetting but it only made the situation worse. The pediatrician advised them to talk with the child about how they feel, refrain from drinking water near bedtime, and praise the child when they keep the bed dry. Which of the following best describes the reappearance of bedwetting?","The reappearance of bedwetting in this scenario is best described as regression due to stress or emotional adjustment to a significant life event, like the birth of a new sibling.",Regression,accurate
12,"A 21-year-old individual is brought to the emergency department following a motor vehicle collision. They have significant pain and weakness in the right arm and hand. Physical examination shows multiple ecchymoses and tenderness in the right upper extremity. They are able to make a fist, but there is marked decrease in grip strength. An x-ray of the right upper extremity shows a midshaft humerus fracture. Which of the following structures is most likely injured?",Radial nerve,Radial nerve,accurate
13,"A 21-year-old Caucasian individual presents to their gynecologist's office with a chief complaint of irregular periods. In the past 2 years, they have often gone > 3 months without menstruating. Menarche was at 13 years old, and prior to the past 2 years, they had regular periods every 28 days lasting 5 days with normal flow and no pain. They deny other symptoms of headache, vision changes, excessive fatigue or sweating, feelings of a racing heart, or hair loss. Since starting college, they have been bothered by weight gain and acne that they attribute to their habit of late night pizza and french fries. On exam they are well appearing with severe acne, and their temperature is 98.6°F (37°C), blood pressure is 120/80 mmHg, pulse is 60/min, and BMI is 30 kg/m^2. Lab work confirms the most likely diagnosis and includes a Hemoglobin A1c of 5.4. If they are not interested in child bearing at this time, what is the best initial medication to treat this disease?",Combined oral contraceptives.,Ethinyl estradiol - norgestimate,Relevant
14,A 23-year-old individual is brought to the emergency department because of severe right shoulder pain and inability to move the shoulder for the past 30 minutes. The pain began after being tackled while playing football. The individual has nausea but has not vomited. They are in no apparent distress. Examination shows the right upper extremity externally rotated and slightly abducted. Palpation of the right shoulder joint shows tenderness and an empty glenoid fossa. The right humeral head is palpated below the coracoid process. The left upper extremity is unremarkable. The radial pulses are palpable bilaterally. Which of the following is the most appropriate next step in management?,Closed reduction.,Test sensation of the lateral shoulder,Inaccurate
15,"A previously healthy 3-year-old child is brought to the physician by a caregiver because of a headache, fever, and facial pain that started 10 days ago. The symptoms initially improved but have gotten significantly worse over the past 2 days. Immunizations are up-to-date. The child's temperature is 39.1°C (102.3°F). Physical examination shows tenderness to palpation over both cheeks. Gram stain of a nasal swab shows small, gram-negative coccobacilli. Which of the following most likely accounts for this patient's infection with the causal pathogen?",Inadequate immune response.,Causal pathogen is unencapsulated,inaccurate
16,"A 35-year-old G0P0000 presents to their gynecologist with complaints of irregular menstruation. They have had only two periods in the last year. They also endorse feeling flushed without provocation and experiencing occasional dyspareunia with post-coital spotting. In addition, they have also had more frequent headaches than usual. The patient has a past medical history of Hashimoto’s thyroiditis and takes levothyroxine daily. Their parent has type I diabetes mellitus. At this visit, the patient’s temperature is 98.5°F (36.9°C), pulse is 70/min, blood pressure is 118/76 mmHg, and respirations are 13/min. Cardiopulmonary and abdominal exams are unremarkable. The patient has Tanner V breasts and pubic hair. Pelvic exam reveals a normal cervix, anteverted uterus without tenderness, and no adnexal masses. The following laboratory studies are performed:

Serum:
Thyroid stimulating hormone (TSH): 28 µIU/mL (9-30 µIU/mL)
Cycle day 3 follicle stimulating hormone (FSH): 49 mIU/mL (4.7-21.5 mIU/mL)
Cycle day 3 estradiol: 8 pg/mL (27-123 pg/mL)
Prolactin: 14 ng/mL (4-23 ng/mL)
Testosterone: 42 ng/dL (15-70 ng/dL)

Which of the following is the best next step in management?",Menopausal hormone therapy.,Estradiol patch with oral medroxyprogesterone,Relevant
17,"A 41-year-old individual is brought to the emergency department with the acute-onset of severe abdominal pain for the past 2 hours. They have a history of frequent episodes of vague abdominal pain, but it has never been this severe. Every time they have had pain, it would resolve after eating a meal. Their past medical history is otherwise insignificant. Their vital signs include: blood pressure 121/77 mm Hg, pulse 91/min, respiratory rate 21/min, and temperature 37°C (98.6°F). On examination, their abdomen is flat and rigid. Which of the following is the next best step in evaluating this patient’s discomfort and stomach pain by physical exam?",Perform a rectal exam.,Auscultate the abdomen,inaccurate
18,"A 58-year-old individual is brought to the emergency room by their spouse, complaining, “I can’t see out of my right eye.” They were watching television last night when they covered their left eye due to an itch and discovered that they could not see. The patient denies any precipitating event, pain, swelling, flashes, floaters, or headaches. Their past medical history is significant for uncontrolled hypertension and angina. Their medications include hydrochlorothiazide, lisinopril, atorvastatin, and nitroglycerin as needed. The physical examination is unremarkable. Fundus examination demonstrates generalized pallor and slight disc edema with no hemorrhages. What is the most likely explanation for this patient’s symptoms?",Central retinal artery occlusion (CRAO).,Occlusion of the ophthalmic artery by embolus,Accurate.
