Index,Question,Response,Answer,Accuracy
0,"A 42-year-old woman presents to the physician because of an abnormal breast biopsy report following suspicious findings on breast imaging. Other than being concerned about her report, she feels well. She has no history of any serious illnesses and takes no medications. She does not smoke. She consumes wine 1–2 times per week with dinner. There is no significant family history of breast or ovarian cancer. Vital signs are within normal limits. Physical examination shows no abnormal findings. The biopsy shows lobular carcinoma in situ (LCIS) in the left breast. Which of the following is the most appropriate next step in management?","The most appropriate next step in management is to discuss the findings and consider close surveillance, risk-reducing medication, or preventive surgery based on patient preferences and risk assessment.",Careful observation + routine mammography,Relevant
1,"A 47-year-old woman with a history of recent gastric bypass surgery presents for a follow-up visit. 8 months ago, she underwent gastric bypass surgery because she was struggling with maintaining her BMI below 42 kg/m². She previously weighed 120 kg (265 lb), and now she weighs 74.8 kg (165 lb). She says that she has low energy and is easily fatigued. These symptoms have become progressively worse over the past month. She is struggling to get through the day and sometimes has to nap before she can continue with her work. She has also recently noticed that she gets cramps in her legs, especially after a long day. The patient is afebrile and vital signs are within normal limits. Physical examination is unremarkable. Her hemoglobin is 9.5 mg/dL with an MCV of 75 fl. Her peripheral smear is shown in the exhibit. Which of the following supplements would most likely improve this patient’s symptoms?",Iron.,Iron,accurate
2,"A 48-year-old woman presents with a sudden-onset severe headache that she describes as the worst in her life, followed by binocular horizontal diplopia and ptosis. Her past medical history is significant for hypertension. On admission, her vital signs include: blood pressure 130/70 mm Hg, heart rate 78/min, respiratory rate 18/min, and temperature 36.5°C (97.7°F). On neurological examination, the left eye deviates inferolaterally. There is also ptosis, mydriasis, and an absent pupillary light response on the left. A non-contrast CT of the head is performed and is shown below. Which of the following structures is most likely to be abnormal in this patient?",Posterior communicating artery.,Posterior communicating artery (PCom),accurate
3,"A 51-year-old man alcoholic presents to the emergency department with persistent vomiting. He was found vomiting forcefully next to an empty bottle of vodka. His medical history is significant for Lyme disease, currently being treated with doxycycline. After a prolonged episode of retching, the patient begins choking and coughing forcefully in between bouts of chest pain in the ER. At this point, the patient is unable to communicate. The patient appears toxic. His temperature is 37°C (98.6°F), respiratory rate is 15/min, pulse is 107/min, and blood pressure is 90/68 mm Hg. A quick physical exam reveals fullness at the base of the neck and a crunching, rasping sound on auscultation of the chest. The attending physician orders an upright chest X-ray, showing free mediastinal air. What is the most likely diagnosis?",Boerhaave syndrome.,Boerhaave syndrome,accurate
4,"An otherwise healthy 7-year-old boy is brought to the emergency department because of a 1-day history of involuntary muscle contractions and pain in his back and neck. Two weeks ago, he fell while playing in the sandbox and scraped both his knees. He has not received any vaccinations since birth. His temperature is 38.5°C (101.3°F). He is diaphoretic. Examination shows inability to open his mouth beyond 1 cm. There is hyperextension of the lumbar spine and resistance to neck flexion. Administration of which of the following would most likely have prevented this patient's current condition?",Tetanus toxoid.,Denaturated bacterial product,accurate
5,"A 7-year-old boy is brought to the emergency department by his parents. They state that he has had trouble walking the past day and this morning refuses to walk at all. The child has a past medical history of asthma, which is treated with albuterol. His temperature is 102°F (38.9°C), blood pressure is 77/48 mmHg, pulse is 150/min, respirations are 17/min, and oxygen saturation is 98% on room air. Laboratory tests are drawn and shown below.

Hemoglobin: 10 g/dL
Hematocrit: 36%
Leukocyte count: 13,500/mm^3 with normal differential
Platelet count: 197,000/mm^3

An MRI of the the thigh and knee is performed and demonstrates edema and cortical destruction of the distal femur. Which of the following is the most likely infectious agent in this patient?",Staphylococcus aureus,Staphylococcus aureus,accurate
6,"A 61-year-old man with a history of stage IIIa lung adenocarcinoma that has been treated with wedge resection and chemotherapy presents to the primary care clinic. He is largely asymptomatic, but he demonstrates a persistent microcytic anemia despite iron supplementation. Colonoscopy performed 3 years earlier was unremarkable. His past medical history is significant for diabetes mellitus type II, hypertension, acute lymphoblastic leukemia as a child, and hypercholesterolemia. He currently smokes 1 pack of cigarettes per day, drinks a glass of pinot grigio per day, and currently denies any illicit drug use. His vital signs include: temperature, 36.7°C (98.0°F); blood pressure, 126/74 mm Hg; heart rate, 87/min; and respiratory rate, 17/min. On physical examination, his pulses are bounding, complexion is pale, but breath sounds remain clear. Oxygen saturation was initially 91% on room air, with a new oxygen requirement of 2 L by nasal cannula. Which of the following lab values would suggest anemia of chronic disease as the underlying etiology?","Low iron, low total iron-binding capacity (TIBC), and normal or elevated ferritin.","Decreased serum iron and transferrin, increased ferritin, normal serum transferrin receptor",Relevant
7,"A physician scientist is looking for a more efficient way to treat HIV. Patients infected with HIV mount a humoral immune response by producing antibodies against the HIV envelope proteins. These antibodies are the same antibodies detected by the ELISA and western blot assays used to diagnose the disease. The physician scientist is trying to generate a new, more potent antibody against the same HIV envelope proteins targeted by the natural humoral immune response. Of the following proteins, which is the most likely target of the antibody he is designing?",gp120,gp120,accurate
8,"A 67-year-old patient comes to the physician because of a 4-month history of weight loss, chest pain, dry cough, and shortness of breath on exertion. He worked as a shipbuilder for 45 years and is now retired. Since the death of his wife 2 years ago, he has lived with his daughter. He has never smoked. His temperature is 38.1°C (100.6°F), pulse is 85/min, and blood pressure is 134/82 mm Hg. Fine, end-inspiratory rales are heard at the left lung base; breath sounds are absent at the right lung base. A CT scan of the chest shows pleural thickening and a right hemothorax. Thoracocentesis confirms the diagnosis of mesothelioma. The patient and his family are informed about the poor prognosis of this condition and that the mean survival time is 1 year. The patient states that he wishes to receive radiation. He would also like to receive home hospice care but is unsure whether his health insurance would cover the costs. The patient's son, who has been assigned power of attorney, does not agree with this decision. The patient does not have a living will but states that if his heart stops beating, he wants to receive cardiopulmonary resuscitation. Which of the following disqualifies the patient from receiving hospice care?",Desire for cardiopulmonary resuscitation.,"His life expectancy
""",Inaccurate
9,"A 28-year-old man is brought to the physician by his wife because she is worried about his unusual behavior. Two weeks ago, he was promoted and is now convinced that he will soon take over the firm. He has been working overtime at the office and spends most of his nights at parties. Whenever he comes home, he asks his wife to have sex with him and rarely sleeps more than 3 hours. He has a history of a similar episode and several periods of depression over the past 2 years. He currently takes no medications. He appears impatient, repeatedly jumps up from his seat, and says, “I have more important things to do.” There is no evidence of suicidal ideation. Urine toxicology screening is negative. Long-term treatment with lithium is started. Which of the following parameters should be regularly assessed in this patient while he is undergoing treatment?",Thyroid and renal function tests.,Serum thyroid-stimulating hormone,Relevant
