Index,Question,Response,Answer,Accuracy
0,"A 16-year-old American Indian/Alaska Native young man with no significant past medical, surgical, or family history presents to his pediatrician with new symptoms following a recent camping trip. He notes that he went with a group of friends and 1 other group member is experiencing similar symptoms. Over the past 5 days, he endorses significant flatulence, nausea, and greasy, foul-smelling diarrhea. He denies tenesmus, urgency, and bloody diarrhea. The blood pressure is 118/74 mm Hg, heart rate is 88/min, respiratory rate is 14/min, and temperature is 37.0°C (98.6°F). Physical examination is notable for mild, diffuse abdominal tenderness. He has no blood in the rectal vault. What is the patient most likely to report about his camping activities?",Drinking from a freshwater stream or lake.,"Collecting water from a stream, without boiling or chemical treatment",relevant
1,"A 34-year-old Black/African American female presents to the emergency room with headache and palpitations. She is sweating profusely and appears tremulous on exam. Vital signs are as follows: HR 120, BP 190/110, RR 18, O2 99% on room air, and Temp 37C. Urinary metanephrines and catechols are positive. Which of the following medical regimens is contraindicated as a first-line therapy in this patient?",Beta-blockers without alpha-blockade.,Propranolol,relevant
2,A 4-year-old American Indian/Alaska Native girl is brought to the pediatrician's office by her parents with a complaint of foul-smelling discharge from one side of her nose for the past 2 weeks. There is no history of trauma to the nose and she was completely fine during her well-child visit last month. She was born at 39 weeks gestation via spontaneous vaginal delivery. She is up to date on all vaccines and is meeting all developmental milestones. Her vital signs are within normal limits. Examination of the nose reveals a mucoid discharge oozing out from the left nostril. The girl panics when the physician tries to use a nasal speculum. Palpation over the facial bones does not reveal any tenderness. An X-ray image of the paranasal sinuses shows no abnormality. Which of the following is the most likely cause of this condition?,Nasal foreign body,Nasal foreign body,accurate
3,A 50-year-old HIV-positive Native Hawaiian/Pacific Islander male presents to the ER with a two-day history of fever and hemoptysis. Chest radiograph shows a fibrocavitary lesion in the right middle lobe. Biopsy of the afflicted area demonstrates septate hyphae that branch at acute angles. Which of the following is the most likely causal organism?,Aspergillus fumigatus,Aspergillus fumigatus,accurate
4,"A 17-year-old Black/African American woman with no significant past medical history presents to the outpatient OB/GYN clinic with her parents for concerns of primary amenorrhea. She denies any symptoms and appears relatively unconcerned about her presentation. The review of systems is negative. Physical examination demonstrates an age-appropriate degree of development of secondary sexual characteristics, and no significant abnormalities on heart, lung, or abdominal examination. Her vital signs are all within normal limits. Her parents are worried and request that the appropriate laboratory tests are ordered. Which of the following tests is the best next step in the evaluation of this patient’s primary amenorrhea?",Serum Follicle-Stimulating Hormone (FSH) level.,Serum beta hCG,Inaccurate
5,"A medical research study is beginning to evaluate the positive predictive value of a novel blood test for non-Hodgkin's lymphoma in Native Hawaiian/Pacific Islander individuals. The diagnostic arm contains 700 patients with NHL, of which 400 tested positive for the novel blood test. In the control arm, 700 age-matched Native Hawaiian/Pacific Islander control patients are enrolled and 0 are found positive for the novel test. What is the PPV of this test?",The PPV (Positive Predictive Value) of the test is 100%.,400 / (400 + 0),accurate
6,"An 11-year-old Native Hawaiian/Pacific Islander boy presents with a sore throat, fever, chills, and difficulty swallowing for the past 3 days. The patient’s mother says that last night he was short of breath and had a headache. Past medical history is unremarkable. The patient has not been vaccinated as his mother thinks it is ""unnecessary."" His temperature is 38.3°C (101.0°F), blood pressure is 120/70 mm Hg, pulse is 110/min, and respiratory rate is 18/min. On physical examination, the patient is ill-appearing and dehydrated. A grayish-white membrane and pharyngeal erythema are present in the oropharynx. Significant cervical lymphadenopathy is also present. A throat swab is taken and gram staining shows gram-positive club-shaped bacilli along with few neutrophils. Which of the following would most likely be the result of the bacterial culture of the throat swab in this patient?",Corynebacterium diphtheriae.,Small black colonies on tellurite agar,inaccurate
7,"A 39-year-old White man comes to the physician for evaluation of hearing loss. He reports difficulty hearing sounds like the beeping of the microwave or birds chirping, but can easily hear the pipe organ at church. He works as an aircraft marshaller. A Rinne test shows air conduction greater than bone conduction bilaterally. A Weber test does not lateralize. Which of the following is the most likely underlying cause of this patient's condition?",Prolonged exposure to loud noise.,Destruction of the organ of Corti,relevant
8,"A 29-year-old American Indian/Alaska Native man presents to his primary care provider complaining of not being able to get enough rest at night. He goes to bed early enough and has otherwise good sleep hygiene but feels drained the next day. He feels he is unable to perform optimally at work, but he is still a valued employee and able to complete his share of the work. About a month ago his wife of 5 years asked for a divorce and quickly moved out. He has cut out coffee after 12 pm and stopped drinking alcohol. He also exercises 3 days per week. Today, his blood pressure is 120/80 mm Hg, heart rate is 95/min, respiratory rate is 25/min, and temperature is 37.0°C (98.6°F). On physical exam, his heart has a regular rate and rhythm, and his lungs are clear to auscultation bilaterally. A CMP, CBC, and thyroid test are negative. Which of the following statements best describes this patient’s condition?",The patient may be experiencing adjustment disorder with mixed anxiety and depressed mood.,Symptoms will wax and wane but may persist for 6-12 months,Relevant
9,"A 25-year-old Native Hawaiian/Pacific Islander primigravida is admitted to the hospital at 36 weeks gestation with a severe frontal headache. The initial assessment shows her vital signs to be as follows: blood pressure, 170/90 mm Hg; heart rate, 85/min; respiratory rate, 15/min; and temperature, 36.9℃ (98.4℉). The fetal heart rate is 159/min. The patient’s physical examination is remarkable for pitting edema of the lower extremity. Dipstick urine assessment shows 2+ proteinuria. While being evaluated, the patient has a generalized tonic-clonic seizure. Which of the following pharmacologic agents should be used to control the seizures?",Magnesium sulfate,Magnesium sulfate,accurate
