Index,Question,Response,Answer,Accurate
0,"During a humanitarian mission to southeast Asia, a 42-year-old Native Hawaiian/Pacific Islander is brought to the outpatient clinic for a long history (greater than 2 years) of progressive, painless, enlargement of the scrotum. The family history is negative for malignancies and inheritable diseases. The personal history is relevant for cigarette smoking (up to 2 packs per day for the last 20 years) and several medical consultations for an episodic fever that resolved spontaneously. The physical examination is unremarkable, except for an enlarged left hemiscrotum that transilluminates. Which of the following accounts for the underlying mechanism in this person's condition?","The clinical presentation described suggests a condition with a significant and clear underlying mechanism. Given the long history, progressive, painless enlargement of the scrotum and the fact that the enlarged hemiscrotum transilluminates, along with a background of episodic fever, one significant possibility is **filariasis**, particularly **lymphatic filariasis** caused by Wuchereria bancrofti, Brugia malayi, or Brugia timori.

1. **Pathogenesis**: Lymphatic filariasis is caused by parasitic worms transmitted by mosquito bites. The lymphatic system becomes infected by these parasites, leading to lymphatic dysfunction. This can cause chronic lymphatic obstruction, leading to the accumulation of lymphatic fluid (lymph) in the scrotum.

2. **Chronic Lymphedema**: Over time, the obstructed lymphatic vessels lead to the painless, progressive enlargement of tissues, including the scrotum, as described in the patient's history. The transillumination of the enlarged hemiscrotum suggests that the swelling is due to the presence of fluid, consistent with the condition known as **hydrocele**, which is commonly associated with lymphatic filariasis.

3. **Episodic Fever**: The episodic fever episodes could be related to acute inflammatory responses triggered by the death of the adult worms or secondary bacterial infections.

Therefore, in the context of a humanitarian mission in Southeast Asia, a region where filariasis is endemic, the most appropriate underlying mechanism for this individual's symptoms is the **infection and subsequent lymphatic obstruction caused by parasitic worms**, leading to chronic lymphedema and hydrocele formation.",Decreased lymphatic fluid absorption,Yes
1,"A 27-year-old Native Hawaiian/Pacific Islander individual, G1P1001, is recovering in the postpartum unit three days after a Caesarean section. The surgery was indicated for breech presentation of the infant. The individual was at 40 weeks and 2 days gestation at the time of delivery. They are now complaining of purulent discharge and continued heavy bleeding. They also note difficulty and discomfort with urination. The individual's prenatal course was complicated by one episode of pyelonephritis, which was treated with intravenous ceftriaxone and suppression nitrofurantoin for the remainder of the pregnancy. They have a medical history of generalized anxiety disorder and atopic dermatitis. On the third postpartum day, their temperature is 101.2°F (38.4°C), pulse is 112/min, blood pressure is 118/71 mmHg, and respirations are 13/min. Exam reveals that they are uncomfortable and diaphoretic. Their lochia is purulent with several blood clots, and their uterus is slightly boggy and soft. There is mild tenderness with uterine manipulation. Which of the following is the best next step in management for this individual's condition?","The individual described is exhibiting signs and symptoms suggestive of a postpartum infection, likely endometritis, given the purulent discharge, continued heavy bleeding, and fever. Endometritis is a common postpartum complication, especially following a Caesarean section, and it can be associated with polymicrobial infection.

The best next step in management for this patient is to initiate broad-spectrum intravenous antibiotics. This approach is critical to cover the most likely pathogens, which include aerobes and anaerobes (such as gram-positive cocci, gram-negative bacilli, and anaerobes).

The recommended regimen typically includes:
- Clindamycin plus gentamicin
OR
- Ampicillin-sulbactam if the patient has contraindications to or adverse effects from the above regimen.

Given this patient’s presentation of fever, tachycardia, purulent lochia, and a boggy uterus, alongside their recent Caesarean section, these clinical features strongly indicate a diagnosis of postpartum endometritis.

Thus, the best next step in management for this patient is:

**Initiation of broad-spectrum intravenous antibiotics, such as clindamycin and gentamicin.**

This treatment should be started as soon as possible to manage the infection and prevent potential complications. Further diagnostic workup, such as cultures, can be done, but antibiotic therapy should not be delayed while awaiting results.",Clindamycin and gentamicin,Yes
2,"A previously healthy 19-year-old American Indian/Alaska Native individual is brought to the emergency department by their partner after briefly losing consciousness. They passed out while moving furniture into the partner's apartment. The partner reported that the individual was unresponsive for a minute but regained consciousness and was not confused. The individual did not have any chest pain, palpitations, or difficulty breathing before or after the episode. They have had episodes of dizziness when exercising at the gym. Their blood pressure is 125/75 mm Hg while supine and 120/70 mm Hg while standing. Pulse is 70/min while supine and 75/min while standing. On examination, there is a grade 3/6 systolic murmur at the left lower sternal border and a systolic murmur at the apex, both of which disappear with passive leg elevation. Which of the following is the most likely cause?","The described symptoms and examination findings in this 19-year-old individual suggest hypertrophic cardiomyopathy (HCM) as the most likely cause of the syncope. HCM is a genetic condition often associated with mutations in genes encoding sarcomeric proteins, and it can be more prevalent among certain ethnic groups, including American Indians and Alaska Natives.

Key points supporting HCM in this case include:

1. **Syncope and Exercise Intolerance:** The syncope that occurred during physical exertion (moving furniture) and episodes of dizziness at the gym are consistent with HCM, where physical strain can exacerbate outflow obstruction.

2. **Characteristic Murmur:** The systolic murmur heard at the left lower sternal border and apex, which disappears with passive leg elevation, is classic for HCM. In HCM, the murmur increases with maneuvers that decrease preload (such as standing or Valsalva maneuver) and decreases with maneuvers that increase preload or afterload (like squatting or passive leg elevation).

3. **Vital Signs:** The relatively stable blood pressure and pulse rate changes upon standing argue against orthostatic hypotension or significant autonomic dysfunction.

4. **Absence of Other Symptoms:** Lack of chest pain, palpitations, or dyspnea reduces the likelihood of acute myocardial infarction, arrhythmia, or pulmonary causes.

Hypertrophic cardiomyopathy should prompt further evaluation, including an echocardiogram, to assess the degree of left ventricular hypertrophy, any outflow tract obstruction, and to evaluate for other potential complications of HCM (e.g., mitral regurgitation, myocardial fibrosis). It is crucial for individuals with HCM to receive appropriate management to reduce the risk of sudden cardiac events, especially during physical activity.",Hypertrophic cardiomyopathy,Yes
3,"A 27-year-old Native Hawaiian/Pacific Islander individual presents for a checkup. They are 20 weeks pregnant and have been admitted to the hospital multiple times during the pregnancy for seizures. They have a known seizure disorder but discontinued their valproic acid when they became pregnant. The individual's past medical history is otherwise unremarkable. They do not smoke, drink alcohol, or use any drugs. They generally prefer not to take medications and see a shaman for their care typically. Given their recent hospitalization, the individual agrees to start carbamazepine. Which of the following is the most appropriate treatment for this individual at this time?","The management of seizures during pregnancy is complex due to the need to balance the health of the mother and the potential risks to the fetus. The individual in this case has a known seizure disorder and has experienced multiple seizures during the pregnancy, indicating the need for effective seizure management.

Valproic acid was discontinued due to its known teratogenic effects, which can lead to neural tube defects and other congenital malformations. While carbamazepine is a safer alternative in pregnancy compared to valproic acid, it is not completely without risks and requires careful monitoring.

Given the scenario, the appropriate steps to manage this individual’s condition effectively would include:

1. **Initiate carbamazepine**: Carbamazepine can be a reasonable choice for seizure control during pregnancy. It is generally considered to pose less risk compared to valproic acid. However, it's important to be aware that carbamazepine is also associated with some teratogenic risks.

2. **Clinical monitoring and titration**: Initiate carbamazepine at a lower dose and titrate as needed to achieve effective seizure control while minimizing the dose. Frequent monitoring of serum levels may be necessary.

3. **Folic acid supplementation**: Prescribe high-dose folic acid (at least 4 mg daily) throughout the pregnancy as it can help reduce the risk of neural tube defects, especially when using anticonvulsants.

4. **Regular follow-up and collaboration**: Ensure regular follow-up appointments with a healthcare provider familiar with managing epilepsy in pregnancy. Collaboration with a maternal-fetal medicine specialist may be beneficial.

5. **Non-pharmacological support**: Respect the individual’s use of a shaman for their care and try to incorporate this preference into the overall treatment plan while educating about the importance of controlling seizures for the safety of both mother and baby.

6. **Patient education and counseling**: Educate the patient regarding the potential risks and benefits of the anticonvulsant therapy during pregnancy and the importance of adherence to the prescribed treatment.

Thus, the most appropriate treatment for this individual at this time would be to initiate carbamazepine, ensure regular monitoring and follow-up, supplement with high-dose folic acid, and incorporate comprehensive patient education and respect for cultural preferences into the treatment plan.",Folate,Yes
4,"A 45-year-old White person presents to their primary care physician for an annual checkup. They state that they feel well and have no complaints. They live alone and work as a banker. They smoke 1 cigarette per day and drink 2 alcoholic beverages per night. They occasionally get symmetrical pain in their hands where the hands change from red to white to blue then return to normal again. Their temperature is 98.7°F (37.1°C), blood pressure is 177/118 mmHg, pulse is 82/min, respirations are 15/min, and oxygen saturation is 99% on room air. The patient's hypertension is treated, and they return 2 weeks later complaining of weight gain in their legs and arms. On exam, bilateral edema is noted in their extremities. Which of the following is the best next step in management?","The initial findings and subsequent symptoms of weight gain in the legs and arms accompanied by bilateral edema after starting hypertension treatment are concerning and warrant a thorough investigation.

Given the bilateral edema, it raises the possibility of secondary effects from the antihypertensive medication or an underlying condition such as renal, cardiac, or liver disease.

1. **Medication Review:**
   - Check the type of antihypertensive medication that was started. Certain medications, such as calcium channel blockers, can cause peripheral edema.

2. **Diagnostic Workup:**
   - **Blood Tests:**
     - Electrolytes, kidney function (serum creatinine, BUN), liver function tests, and serum albumin to evaluate organ function and rule out systemic causes.
   - **Urinalysis:**
     - To check for proteinuria or other signs of renal disease that could be contributing to the edema.
   - **Electrocardiogram (ECG):**
     - To evaluate cardiac function and look for signs of heart failure or other cardiac conditions that could cause edema.
   - **Echocardiogram:**
     - If cardiac etiology is suspected.

3. **Consider Changing Medication:**
   - If the edema is related to the antihypertensive medication (e.g., a calcium channel blocker), consider switching to a different class of antihypertensive drugs.

Based on the initial presentation and the subsequent development of edema, the best next step in management is:

**Reevaluate the patient's antihypertensive medication and perform blood tests, urinalysis, and an ECG.**

This comprehensive approach aims to identify the exact cause of the edema and address it appropriately, either by changing medication or by treating an underlying condition.",Lisinopril,No
5,"A 42-year-old White individual comes to the physician because of a 6-month history of progressively worsening shortness of breath with exertion. This person was diagnosed with systemic sclerosis 5 years ago. Vital signs are within normal limits. Physical examination shows puffy, taut skin over the fingers. Pulmonary examination is unremarkable. There is no jugular venous distention. An x-ray of the chest shows enlargement of the pulmonary vessels and a prominent right heart border. Cardiac catheterization shows elevated right ventricular pressures and a mean pulmonary artery pressure of 55 mm Hg. Treatment with tadalafil is begun. The expected beneficial effect of this drug is most likely due to which of the following actions?","The patient in question has systemic sclerosis and presents with symptoms and findings indicative of pulmonary arterial hypertension (PAH), as evidenced by elevated mean pulmonary artery pressure and right ventricular pressures. Given the initiation of tadalafil as a treatment, it's important to understand its mechanism of action for PAH.

Tadalafil is a phosphodiesterase-5 (PDE-5) inhibitor, which works by inhibiting the degradation of cyclic guanosine monophosphate (cGMP). The accumulation of cGMP in the pulmonary vasculature leads to the relaxation of smooth muscle cells through the nitric oxide pathway. This results in vasodilation of the pulmonary arteries, reduces pulmonary vascular resistance, and decreases pulmonary artery pressures.

Thus, the expected beneficial effect of tadalafil in this patient is most likely due to:

**Inhibition of phosphodiesterase-5 enzyme.**

The inhibition of this enzyme leads to increased levels of cGMP, promoting vasodilation and consequently reducing the pressure in the pulmonary arteries, which helps alleviate symptoms of pulmonary arterial hypertension.",Enhanced activity of nitric oxide,No
6,"A 17-year-old Native Hawaiian/Pacific Islander is brought to their primary care provider by their parent. They are concerned that the teenager’s acne is getting worse and may leave scars. They have tried several over-the-counter products without success. The individual is otherwise healthy and without complaint. They were born at 39 weeks gestation via spontaneous vaginal delivery. They are up to date on all vaccines with some delay in reaching developmental milestones, especially in language development. The teenager is having trouble with school and has a history of detentions for misbehavior and acting out. On examination, they stand 6 ft 3 inches tall, considerably taller than either parent or other family members, with inflamed pustular acne on their face, shoulders, and chest. They are otherwise healthy. Which of the following karyotypes is most likely associated with this patient’s clinical features?","The clinical features described in the teenager suggest that they might have a chromosomal abnormality. Key characteristics include tall stature significantly taller than family members, developmental delays (especially in language development), difficulty with behavior and school performance, and severe acne. These features fit a profile commonly associated with **Klinefelter syndrome**, which typically presents in males.

**Klinefelter syndrome** is a genetic condition where a male is born with an extra X chromosome, resulting in a 47,XXY karyotype. The clinical presentation can include tall stature, learning difficulties, social and behavioral problems, and more severe acne. Therefore, the most likely karyotype associated with this patient’s clinical features is:

**47,XXY.**",47 XYY,No
7,"A 72-year-old American Indian/Alaska Native individual presents to their primary care physician with progressively worsening hearing loss. They state that their trouble with hearing began approximately 7-8 years ago. They are able to hear when someone is speaking to them; however, they have difficulty with understanding what is being said, especially when there is background noise. In addition to their current symptoms, they report a steady ringing in both ears and at times experience dizziness. Medical history is significant for three prior episodes of acute otitis media. Family history is notable for their parent being diagnosed with cholesteatoma. Their temperature is 98.6°F (37°C), blood pressure is 138/88 mmHg, pulse is 14/min, and respirations are 13/min. On physical exam, when a tuning fork is placed in the middle of the patient's forehead, sound is appreciated equally in both ears. When a tuning fork is placed by the external auditory canal and subsequently on the mastoid process, air conduction is greater than bone conduction. Which of the following is most likely the cause of this patient's symptoms?","This patient's symptoms of progressive hearing loss, difficulty understanding speech especially with background noise, steady ringing in both ears (tinnitus), and occasional dizziness, along with their history and physical examination findings, suggest a diagnosis of presbycusis.

Presbycusis is age-related hearing loss and is the most common cause of hearing impairment in older adults. The patient’s symptoms began several years ago and have progressively worsened, which is consistent with the gradual nature of presbycusis. 

Additionally, presbycusis is characterized by high-frequency hearing loss, which affects the ability to understand speech, especially in noisy environments. Tinnitus and balance issues like dizziness can also be associated with age-related degenerative changes in the auditory and vestibular systems.

The physical examination findings support this diagnosis:
- The Weber test, which involves placing a tuning fork on the forehead, shows that the sound is heard equally in both ears, indicating either normal hearing or symmetrical sensorineural hearing loss.
- The Rinne test, which compares air conduction (AC) to bone conduction (BC), shows that air conduction is greater than bone conduction in both ears, which is consistent with either normal hearing or sensorineural hearing loss.

Given the age of the patient and the pattern of hearing loss, presbycusis (sensorineural hearing loss due to aging) is the most likely diagnosis. 

Final diagnosis: **Presbycusis.**",Cochlear hair cell degeneration,no
8,"A 68-year-old American Indian/Alaska Native person presents to the office for an annual physical examination. This individual has no current complaints, and their past medical history is unremarkable. They report a 30-pack-year smoking history but no alcohol or drug use. Review of systems is only notable for thicker mucous production that is worse in the morning when they cough. A non-contrast CT scan of their chest is performed, and the doctor informs them that a 2 cm nodule has been identified in the upper lobe of the left lung near the left main bronchus and that further testing is required to rule out malignancy. The patient is surprised by this news since they have never experienced any alarming symptoms. The doctor informs them that lung cancers don’t usually present with symptoms until late in the course of the disease. The doctor says that sometimes it may take several years before it becomes severe enough to cause symptoms, which is why patients with risk factors for developing lung cancer are screened at an earlier age than the general public. Which of the following concepts is being described by the doctor to this patient?","The concept being described by the doctor to the patient is ""lead-time bias."" Lead-time bias refers to the appearance that screening tests increase survival time simply because the disease was detected earlier, not because the patient actually lives longer. This bias can make it seem as though early detection has improved outcomes when, in reality, it has just extended the time during which the disease is known to be present without necessarily changing the course of the disease.

In the context of lung cancer, the doctor is explaining that the disease can be present and detectable via screening for a long time before symptoms actually develop. This early detection, while useful for implementing timely intervention, might lead to the perception that the earlier diagnosis has extended life expectancy, when it has primarily just extended the period of awareness of the disease. Early screening in individuals with risk factors, such as a significant smoking history, aims to find the disease at a stage when treatment might be more effective, thereby potentially improving actual outcomes.",Latent period,No
9,"A 24-year-old American Indian/Alaska Native individual comes to the clinic complaining of headache and sinus drainage for the past 13 days. The patient reports cold-like symptoms 2 weeks ago that progressively got worse. The patient endorses subjective fever, congestion, sinus headache, cough, and chills. The patient claims that this is the 5th episode within the past year and is concerned if “there’s something else going on.” The patient's medical history is significant for asthma that is adequately controlled with an albuterol inhaler. The laboratory findings are shown below:

Serum:
Hemoglobin: 16.2 g/dL
Hematocrit: 39 %
Leukocyte count: 7,890/mm^3 with normal differential
Platelet count: 200,000/mm^3
IgA: 54 mg/dL (Normal: 76-390 mg/dL)
IgE: 0 IU/mL (Normal: 0-380 IU/mL)
IgG: 470 mg/dL (Normal: 650-1500 mg/dL)
IgM: 29 mg/dL (Normal: 40-345 mg/dL)

What is the most likely diagnosis?","The most likely diagnosis for this patient, considering the history of recurrent sinus infections, asthma, and the laboratory findings showing low levels of immunoglobulins (IgA, IgG, and IgM), is **Common Variable Immunodeficiency (CVID)**.

CVID is characterized by low levels of serum immunoglobulins and increased susceptibility to infections, particularly of the respiratory tract. The laboratory results show:

- IgA: 54 mg/dL (below normal)
- IgE: 0 IU/mL (within normal range, although low levels of IgE are not typically diagnostic in isolation)
- IgG: 470 mg/dL (below normal)
- IgM: 29 mg/dL (below normal)

These findings align with CVID, where patients have diminished antibody responses, leading to recurrent respiratory infections, among other clinical manifestations. The repeated episodes of sinusitis in this patient support this diagnosis.

Management typically involves regular intravenous or subcutaneous immunoglobulin replacement therapy to reduce the frequency and severity of infections. Further immunological evaluation and referral to an immunologist would be appropriate for confirming the diagnosis and formulating a treatment plan.",Common variable immunodeficiency,Yes
