Index,Question,Response,Answer,Accuracy
0,"A 22-year-old female is brought to the emergency department by her roommate with a one day history of fever and malaise. She did not feel well after class the previous night and has been in her room since then. She has not been eating or drinking due to severe nausea. Her roommate checked on her one hour ago and was alarmed to find a fever of 102°F (38.9°C). On physical exam temperature is 103°F (40°C), blood pressure is 110/66 mmHg, pulse is 110/min, respirations are 23/min, and pulse oximetry is 98% on room air. She refuses to move her neck and has a rash on her trunk. You perform a lumbar puncture and the CSF analysis is shown below.

Appearance: Cloudy
Opening pressure: 180 mm H2O
WBC count: 150 cells/µL (93% PMN)
Glucose level: < 40 mg/dL
Protein level: 50 mg/dL
Gram stain: gram-negative diplococci

Based on this patient's clinical presentation, which of the following should most likely be administered?","*1*  Antibiotics
*2*  IV fluids
*3*  Antipyretics",Ceftriaxone,accurate
1,"A 42-year-old woman comes to the physician with a rash on the dorsal surfaces of her hands and feet for the past month. The rash began as blisters that developed a few days after she had been sunbathing on the beach. Photographs of the rash are shown. She has no history of similar symptoms, takes no medications, and has no history of recent travels. She has consumed excess alcohol several times over the past 2 months. Her temperature is 37.1°C (98.8°F). The remainder of the physical examination shows no abnormalities. Laboratory studies show elevated plasma porphyrins, with normal urinary 5-aminolevulinic acid and porphobilinogen. Which of the following is the most appropriate next step in management?","*1*  - Testing for anti-Ro/SSA and anti-La/SSB antibodies

*2* - Avoiding sun exposure and using broad-spectrum sunscreen

*3* - Referral to a dermatologist for skin biopsy and evaluation",Phlebotomy,Relevant
2,"A 32-year-old HIV positive male presents to the office complaining of difficulty swallowing and bad breath for the past couple of months. Upon further questioning, he says, ""it feels like there’s something in my throat"". He says that the difficulty is sometimes severe enough that he has to skip meals. He added that it mainly occurs with solid foods. He is concerned about his bad breath since he has regular meetings with his clients. Although he is on antiretroviral medications, he admits that he is noncompliant. On examination, the patient is cachectic with pale conjunctiva. On lab evaluation, the patient’s CD4+ count is 70/mm3. What is the most likely cause of his symptoms?","1. Esophageal candidiasis: Given the patient's history of HIV and low CD4+ count along with symptoms of difficulty swallowing and bad breath, esophageal candidiasis is a common opportunistic infection seen in HIV-positive individuals. The presence of oral thrush may also suggest a fungal infection.

2. Esophageal ulcers: In HIV-positive patients with low CD4+ counts, esophageal ulcers can occur as a result of opportunistic infections or malignancies. The symptoms of difficulty swallowing and the sensation of something being stuck in the throat can be seen in patients with esophageal ulcers.

3. Esophageal stricture: Chronic untreated esophageal candidiasis or other infections can lead to scarring and narrowing of the esophagus, resulting in difficulty swallowing. In this patient with a low CD4+ count and likely esophageal symptoms, esophageal stricture should also be considered.",Candida albicans,Relevant.
3,A professional musician visits his physician after a morning concert. He complains of painless swelling in his right cheek when he plays his tuba. Physical examination of the patient reveals slight facial asymmetry due to minor swelling on the right side of the face. The skin over the swelling is smooth without any secondary changes. Palpation reveals a soft and non-tender swelling. The oral opening is normal without any trismus. Further examination reveals swelling of the left buccal mucosa extending from the first to the third molar. Bedside ultrasound shows small areas of high echogenicity consistent with pneumoparotid. Which nerve is associated with motor function to prevent air from entering the affected duct in this patient?,"*1* Facial nerve (CN VII)
*2* Trigeminal nerve (CN V)
*3* Hypoglossal nerve (CN XII)",CN VII – Buccal branch,Relevant
4,"A 36-year-old man is admitted to the hospital because of a 1-day history of epigastric pain and vomiting. He has had similar episodes of epigastric pain in the past. He drinks 8 oz of vodka daily. Five days after admission, the patient develops aspiration pneumonia and sepsis. Despite appropriate therapy, the patient dies. At autopsy, the pancreas appears gray, enlarged, and nodular. Microscopic examination of the pancreas shows localized deposits of calcium. This finding is most similar to an adaptive change that can occur in which of the following conditions?","*1*  Chronic alcohol abuse, leading to chronic pancreatitis

*2*  Gallstone pancreatitis

*3*  Acute pancreatitis caused by alcohol consumption",Congenital CMV infection,Inaccurate
5,"A 23-year-old woman is brought to the physician by her father because of strange behavior for the past 6 months. The father reports that his daughter has increasingly isolated herself in college and received poor grades. She has told her father that aliens are trying to infiltrate her mind and that she has to continuously listen to the radio to monitor these activities. She appears anxious. Her vital signs are within normal limits. Physical examination shows no abnormalities. Neurologic examination shows no focal findings. Mental status examination shows psychomotor agitation. She says: “I can describe how the aliens chase me except for my car which is parked in the garage. You know, the sky is beautiful today. Why does my mother have a cat?” Which of the following best describes this patient's thought process?","*1* 1. Loose associations: This patient's thought process is characterized by loose associations, where her thoughts lack logical coherence and easily jump from one unrelated topic to another. This is evident in her response to the examiner's question, where she shifts from describing aliens chasing her to the beauty of the sky and her mother's cat.

*2* 2. Flight of ideas: Flight of ideas is a rapid shifting of thoughts from one idea to another, often based on discernible links between the topics. While the patient in this case does exhibit disorganized and rapid speech, her thoughts do not appear to follow a typical pattern or connected logic, which is more characteristic of loose associations than flight of ideas.

*3* 3. Tangentiality: Tangentiality refers to a thought process where the individual goes off on tangents and never returns to the main point. While this patient's speech does include some tangential elements, her overall thought process is better described by the presence of loose associations, where the lack of logical coherence is more prominent.",Loose associations,Relevant
6,"A 68-year-old man comes to the physician because of a 3-month history of anorexia, weight loss, and cough productive of blood-tinged sputum with yellow granules. Four months ago he was treated for gingivitis. He has smoked 1 pack of cigarettes daily for 40 years. Examination shows crackles over the right upper lung field. An x-ray of the chest shows a solitary nodule and one cavitary lesion in the right upper lung field. A photomicrograph of a biopsy specimen from the nodule obtained via CT-guided biopsy is shown. Which of the following is the most appropriate pharmacotherapy?","*1* 

1. Isoniazid and Rifampin: The clinical presentation, along with the imaging findings and biopsy results, are concerning for pulmonary tuberculosis. The most appropriate pharmacotherapy would be a combination of isoniazid and rifampin, along with other antimicrobials as indicated.

2. Azithromycin: Azithromycin is not the first-line treatment for pulmonary tuberculosis. While it may be used in certain cases, it is not the most appropriate initial pharmacotherapy for this patient.

3. Levofloxacin: Levofloxacin is not the first-line treatment for pulmonary tuberculosis. Although fluoroquinolones like levofloxacin may have activity against Mycobacterium tuberculosis, they are not recommended as first-line agents due to the risk of developing resistance.",Penicillin G,Inaccurate
7,"A 25-year-old man was referred to a neurologist for right-hand weakness. He was involved in a motor vehicle accident 2 months ago in which his right hand was injured. On examination, his grip is weak, especially in fingers 2, 4, and 5 and he is unable to adduct these fingers. Which of the following groups of muscles is most likely affected?","*1* 1. muscles innervated by the ulnar nerve
*2* 2. muscles innervated by the median nerve
*3* 3. muscles innervated by the radial nerve",Palmar interossei muscles,Relevant.
8,"A 23-year-old man presents with fatigue and increased daytime somnolence. He says his symptoms began gradually 6 months ago and have progressively worsened and have begun to interfere with his job as a computer programmer. He is also bothered by episodes of paralysis upon waking from naps and reports visual hallucinations when falling asleep at night. He has been under the care of another physician for the past several months, who prescribed him the standard pharmacotherapy for his most likely diagnosis. However, he has continued to experience an incomplete remission of symptoms and has been advised against increasing the dose of his current medication because of an increased risk of adverse effects. Which of the following side effects is most closely associated with the standard drug treatment for this patient’s most likely diagnosis?","1. Sleep paralysis and visual hallucinations
2. Weight gain
3. Dry mouth and constipation","Cardiac irregularities, nervousness, hallucinations",Relevant
9,"A 32-year-old woman comes to the physician because of a 3-month history of fatigue and myalgia. Over the past month, she has had intermittent episodes of nausea. She has a history of intravenous drug use, but she has not used illicit drugs for the past five years. She has smoked one pack of cigarettes daily for 14 years and drinks one alcoholic beverage daily. She takes no medications. Her last visit to a physician was 4 years ago. Her temperature is 37°C (98.6°F), pulse is 90/min, respirations are 20/min, and blood pressure is 110/70 mm Hg. Physical examination shows jaundice and hepatosplenomegaly. There are also blisters and erosions on the dorsum of both hands. The remainder of the examination shows no abnormalities. Laboratory studies show:
Hemoglobin 12 g/dL
Leukocyte count 8,300/mm3
Platelet count 250,000/mm3
Serum
Glucose 170 mg/dL
Albumin 3.0 g/dL
Total bilirubin 2.2 mg/dL
Alkaline phosphatase 80 U/L
AST 92 U/L
ALT 76 U/L
Hepatitis B surface antigen negative
Hepatitis B surface antibody positive
Hepatitis B core antibody positive
Hepatitis C antibody positive
Which of the following is the most appropriate next step in diagnosis?""","*1* 1. Perform a hepatitis C RNA test 
*2* 2. Refer the patient to a gastroenterologist for further evaluation 
*3* 3. Obtain an abdominal ultrasound to evaluate liver size and morphology",PCR for viral RNA,Relevant
