Index,Question,Response,Answer,Accurate
0,"During a humanitarian mission to southeast Asia, an individual is brought to the outpatient clinic for a long history (greater than 2 years) of progressive, painless, enlargement of their scrotum. The family history is negative for malignancies and inheritable diseases. The personal history is relevant for cigarette smoking (up to 2 packs per day for the last 20 years) and several medical consultations for an episodic fever that resolved spontaneously. The physical examination is unremarkable, except for an enlarged left hemiscrotum that transilluminates. Which of the following accounts for the underlying mechanism in this condition?",The condition is most likely due to a parasitic infection causing lymphatic filariasis.,Decreased lymphatic fluid absorption,Yes
1,"An individual recovering in the postpartum unit three days after a Caesarean section is complaining of purulent discharge and continued heavy bleeding. They also note difficulty and discomfort with urination. The surgery was indicated for breech presentation of the infant and was performed at 40 weeks and 2 days gestation. The prenatal course was complicated by one episode of pyelonephritis, which was treated with intravenous ceftriaxone and suppression nitrofurantoin for the remainder of the pregnancy. The person has a medical history of generalized anxiety disorder and atopic dermatitis. On the third postpartum day, the temperature is 101.2°F (38.4°C), pulse is 112/min, blood pressure is 118/71 mmHg, and respirations are 13/min. The exam reveals the individual is uncomfortable and diaphoretic. The lochia is purulent with several blood clots, and the uterus is slightly boggy and soft. There is mild tenderness with uterine manipulation. Which of the following is the best next step in management for this condition?",Initiate broad-spectrum antibiotics.,Clindamycin and gentamicin,No
2,"A previously healthy individual is brought to the emergency department after briefly losing consciousness while moving furniture. The companion reports that the individual was unresponsive for a minute but regained consciousness without confusion. The individual did not experience any chest pain, palpitations, or difficulty breathing before or after the incident and has had episodes of dizziness when exercising. The blood pressure is 125/75 mm Hg while supine and 120/70 mm Hg while standing, with a pulse of 70/min while supine and 75/min while standing. Examination reveals a grade 3/6 systolic murmur at the left lower sternal border and a systolic murmur at the apex, both of which disappear with passive leg elevation. What is the most likely cause?",The most likely cause is hypertrophic cardiomyopathy.,Hypertrophic cardiomyopathy,Yes
3,"An individual presents for a checkup at 20 weeks pregnant and has been admitted to the hospital multiple times during the pregnancy for seizures. They have a known seizure disorder but discontinued valproic acid upon becoming pregnant. The past medical history is otherwise unremarkable. The individual does not smoke, drink alcohol, or use any drugs, prefers not to take medications, and typically sees a shaman for care. Given the recent hospitalizations, they agree to start carbamazepine. Which of the following is the most appropriate treatment for this patient at this time?",Restarting an antiepileptic medication like carbamazepine is appropriate to manage the seizures safely during pregnancy.,Folate,No
4,"An individual presents to their primary care physician for an annual checkup. They state that they feel well and have no complaints. They live alone and work as a banker. They smoke 1 cigarette per day and drink 2 alcoholic beverages per night. They occasionally get symmetrical pain in their hands where they change from red to white to blue then return to normal again. Their temperature is 98.7°F (37.1°C), blood pressure is 177/118 mmHg, pulse is 82/min, respirations are 15/min, and oxygen saturation is 99% on room air. The patient's hypertension is treated, and they return 2 weeks later complaining of weight gain in their legs and arms. On exam, bilateral edema is noted in their extremities. Which of the following is the best next step in management?","Evaluate for potential causes of secondary edema, such as heart failure, liver disease, or renal dysfunction.",Lisinopril,No
5,"An individual comes to the physician because of a 6-month history of progressively worsening shortness of breath with exertion. They were diagnosed with systemic sclerosis 5 years ago. Vital signs are within normal limits. Physical examination shows puffy, taut skin over the fingers. Pulmonary examination is unremarkable. There is no jugular venous distention. An x-ray of the chest shows enlargement of the pulmonary vessels and a prominent right heart border. Cardiac catheterization shows elevated right ventricular pressures and a mean pulmonary artery pressure of 55 mm Hg. Treatment with tadalafil is begun. The expected beneficial effect of this drug is most likely due to which of the following actions?",Increasing cGMP in pulmonary vasculature.,Enhanced activity of nitric oxide,No
6,"An individual is brought to their primary care provider by a parent. They are concerned that the individual's acne is getting worse and may leave scars. They have tried several over-the-counter products without success. The individual is otherwise healthy and without complaint. They were born at 39 weeks gestation via spontaneous vaginal delivery. They are up to date on all vaccines with some delay in reaching developmental milestones, especially in language development. The individual is having trouble with school and has a history of detentions for misbehavior and acting out. On examination, the individual stands 6 ft 3 inches tall, considerably taller than either parent or other family members, with inflamed pustular acne on the face, shoulders, and chest. They are otherwise healthy. Which of the following karyotypes is most likely associated with this patient’s clinical features?","47,XYY.",47 XYY,Yes
7,"An individual presents to their primary care physician with progressively worsening hearing loss. They report that their trouble with hearing began approximately 7-8 years ago. They are able to hear when someone is speaking but have difficulty understanding what is being said, especially when there is background noise. In addition to the current symptoms, they report a steady ringing in both ears and occasionally experience dizziness. Medical history is significant for three prior episodes of acute otitis media. Family history is notable for a parent being diagnosed with cholesteatoma. Their temperature is 98.6°F (37°C), blood pressure is 138/88 mmHg, pulse is 14/min, and respirations are 13/min. On physical exam, when a tuning fork is placed in the middle of the patient's forehead, sound is appreciated equally in both ears. When a tuning fork is placed by the external auditory canal and subsequently on the mastoid process, air conduction is greater than bone conduction. Which of the following is most likely the cause of this patient's symptoms?",This patient's symptoms are most likely caused by presbycusis.,Cochlear hair cell degeneration,Yes
8,"An individual presents to the office for an annual physical examination, with no current complaints. Past medical history is unremarkable. The individual reports a 30-pack-year smoking history but no alcohol or drug use. Review of systems is only remarkable for thicker mucous production that is worse in the morning when they cough. A non-contrast CT scan of the chest is performed, and the doctor informs them that a 2 cm nodule has been identified in the upper lobe of the left lung near the left main bronchus and that further testing is required to rule out malignancy. The individual is surprised by this news since they have never experienced any alarming symptoms. The doctor informs them that lung cancers don’t usually present with symptoms until late in the course of the disease. The doctor says that sometimes it may take several years before it becomes severe enough to cause symptoms, which is why patients with risk factors for developing lung cancer are screened at an earlier age than the general public. Which of the following concepts is being described by the doctor to this patient?",The concept of screening for early detection.,Latent period,No
9,"An individual comes to the clinic complaining of headache and sinus drainage for the past 13 days. They report cold-like symptoms 2 weeks ago that progressively got worse. The patient endorses subjective fever, congestion, sinus headache, cough, and chills. They mention that this is their 5th episode within the past year and is concerned if ""there’s something else going on."" Their medical history is significant for asthma that is adequately controlled with an albuterol inhaler. Their laboratory findings are shown below:

Serum:
Hemoglobin: 16.2 g/dL
Hematocrit: 39 %
Leukocyte count: 7,890/mm^3 with normal differential
Platelet count: 200,000/mm^3
IgA: 54 mg/dL (Normal: 76-390 mg/dL)
IgE: 0 IU/mL (Normal: 0-380 IU/mL)
IgG: 470 mg/dL (Normal: 650-1500 mg/dL)
IgM: 29 mg/dL (Normal: 40-345 mg/dL)

What is the most likely diagnosis?",Common variable immunodeficiency (CVID).,Common variable immunodeficiency,Yes
