Index,Question,Response,Answer,Accuracy
0,"A woman comes to the physician because of blisters on her forearm that appeared 3 days ago. She also reports pain in her left cheek when eating and pain during sexual intercourse for the past week. She has not been sick for the past 6 months. She has started hiking in the woods on weekends with her son a couple months ago but has been careful to avoid poison ivy. She has a history of hypertension and osteoarthritis. She recently started taking captopril and stopped taking meloxicam 2 weeks ago. She has a family history of pernicious anemia and Graves' disease. The patient's vital signs are within normal limits. Examination reveals multiple, flaccid blisters on the volar surface of the forearm and ulcers on the buccal, gingival, and vulvar mucosa. The epidermis on the forearm separates when the skin is lightly stroked. The total body surface area involvement of the blisters is estimated to be 10%. The remainder of the examination shows no abnormalities. Which of the following is the most likely diagnosis?",Pemphigus vulgaris,Pemphigus vulgaris,accurate
1,"A woman presents to her physician concerned about wet spots on the inside part of her dress shirts, which she thinks may be coming from one of her breasts. She states that it is painless and that the discharge is usually blood-tinged. She denies any history of malignancy in her family and states that she has been having regular periods since they first started at age 13. She does not have any children. The patient has normal vitals and denies any cough, fever. On exam, there are no palpable masses, and the patient does not have any erythema or induration. What is the most likely diagnosis?",Intraductal papilloma.,Intraductal papilloma,accurate
2,"A man comes to the physician because of worsening fatigue and a 1-week history of gingival bleeding. He has also had decreased appetite and a 5-kg (11-lb) weight loss over the past month. He has tried over-the-counter vitamin supplements with no relief of his symptoms. He appears pale. His temperature is 37.8° C (100.0°F), pulse is 72/min and blood pressure is 120/70 mm Hg. Physical examination shows numerous petechial lesions over the upper and lower extremities. A bone marrow smear is shown. Which of the following additional findings is most likely in this patient?","Bleeding gums, pallor, and petechiae suggest pancytopenia, consistent with a diagnosis of acute leukemia. The bone marrow smear likely showed blasts, supporting this diagnosis.",Peroxidase-positive granules,Inaccurate
3,"A woman presents to her primary care clinic for a general checkup. She states she's been a bit more fatigued lately during finals season but is otherwise well. Her mother and sister have hypothyroidism. She denies fatigue, weight gain, cold intolerance, constipation, heavy or irregular menses, or changes in the quality of her hair, skin, or nails. Physical exam is unremarkable. Laboratory studies are ordered as seen below.

Hemoglobin: 14 g/dL
Hematocrit: 40%
Leukocyte count: 5,500/mm^3 with normal differential
Platelet count: 188,000/mm^3

Serum:
Na+: 139 mEq/L
Cl-: 102 mEq/L
K+: 4.4 mEq/L
HCO3-: 24 mEq/L
BUN: 20 mg/dL
Glucose: 99 mg/dL
Creatinine: 0.8 mg/dL
Ca2+: 10.2 mg/dL
Antithyroid peroxidase Ab: Positive
AST: 12 U/L
ALT: 10 U/L

Which of the following laboratory values is most likely in this patient?",TSH: 8.4 µU/mL,Normal TSH and normal T4,Inaccurate
4,"A woman, gravida 2, para 1, at 35 weeks' gestation is brought to the emergency department for the evaluation of continuous, dark, vaginal bleeding and abdominal pain for one hour. Her first child was delivered by lower segment transverse cesarean section because of a nonreassuring fetal heart rate. The patient has a history of hypertension and has been noncompliant with her hypertensive regimen. Her medications include methyldopa, folic acid, and a multivitamin. Her pulse is 90/min, respirations are 16/min, and blood pressure is 145/90 mm Hg. The abdomen is tender, and hypertonic contractions can be felt. There is blood on the vulva, the introitus, and on the medial aspect of both thighs. The fetus is in a breech presentation. The fetal heart rate is 180/min with recurrent decelerations. Which of the following is the cause of fetal compromise?",Abruptio placentae.,Detachment of the placenta,Accurate
5,"A man with a history of alcohol binge drinking and polysubstance use is found down in his hotel room with bottles of alcohol, oxycodone, alprazolam, amphetamine-dextroamphetamine, and tadalafil. When EMS arrives, he appears comatose with pinpoint pupils and oxygen saturation of 80% on room air. He is intubated at the scene and airlifted to the nearest intensive care unit. Body temperature is 95 degrees F (35 degrees C). Creatine phosphokinase is 12,000 U/L. MRI of the brain demonstrates extensive infarcts consistent with acute hypoxic ischemic injury. Which of the following is the likely culprit for his overdose?",Oxycodone.,Opioids,accurate
6,"A boy is brought to his pediatrician by his mother after he has complained of worsening left thumb pain for the last two weeks. The mother reports that the patient was previously healthy. Approximately 2 weeks ago, the family cat bit the patient’s thumb. The area around the bite wound then became red, hot, and slightly swollen and never healed. Earlier this week, the patient also started developing fevers that were recorded at home to be as high as 103.6°F. On exam, the patient's temperature is 102.2°F (39.0°C), blood pressure is 112/72 mmHg, pulse is 92/min, and respirations are 14/min. The patient’s left thumb is tender to touch over the proximal phalanx and the interphalangeal joint, but there is no obvious erythema or swelling. A radiograph performed in clinic is concerning for osteomyelitis at the proximal phalanx. Which of the following is the most likely cause of this patient’s condition?",Pasteurella multocida,Pasteurella multocida,accurate
7,A woman with a history of ulcerative colitis presents to the emergency department with a severe flare. She reports numerous bloody loose stools and has been febrile for two days. Vital signs are: T 101.9 HR 98 BP 121/86 RR 17 Sat 100%. Abdominal exam reveals a markedly distended abdomen with tympani and tenderness to palpation without guarding or rebound. KUB is shown in figure A. CT scan shows a markedly dilated descending and sigmoid colon with no perforations. What is the next best step in management for this patient?,The next best step in management is to administer intravenous corticosteroids.,IV hydrocortisone,accurate
8,"A man presents with a nodule on his right foot. He says that he first noticed the nodule last week. It has not undergone any change in size and color. He denies any history of trauma or fever. Past medical history is significant for HIV, diagnosed 6 years ago. He is currently not on antiretroviral therapy. His last CD4+ T cell count was 0.19 x 10^9/L. He is afebrile, and his vital signs are within normal limits. On physical examination, there is a 3 cm x 4 cm nodule on the right foot, tan brown in color, non-tender, and covered with a fine scale. A biopsy of the nodule is performed and histopathological analysis reveals the proliferation of blood vessels with overgrown endothelial cells. Histological staining of the biopsy tissue reveals gram-negative bacilli. Which of the following is the best course of treatment for this patient?",Initiate antiretroviral therapy and administer doxycycline or erythromycin.,Erythromycin,Relevant.
9,A male presents to the pediatrician after two days of tea-colored urine which appeared to coincide with the first day of junior high football. He explains that he refused to go back to practice because he was humiliated by the other players due to his quick and excessive fatigue after a set of drills accompanied by pain in his muscles. A blood test revealed elevated creatine kinase and myoglobin levels. A muscle biopsy was performed revealing large glycogen deposits and an enzyme histochemistry showed a lack of myophosphorylase activity. Which of the following reactions is not occurring in this individual?,Conversion of glycogen to glucose-1-phosphate.,Breaking down glycogen to glucose-1-phosphate,accurate
