Index,Question,Response,Answer,Accuracy
0,"A White woman comes to the physician because of an 8-hour history of painful leg cramping, a runny nose, and chills. She has also had diarrhea and abdominal pain. She appears irritable and yawns frequently. Her pulse is 115/min. Examination shows cool, damp skin with piloerection. The pupils are 7 mm in diameter and equal in size. Bowel sounds are hyperactive. Deep tendon reflexes are 3+ bilaterally. Withdrawal from which of the following substances is most likely the cause of this patient's symptoms?",Heroin.,Heroin,accurate
1,"A mother brings her American Indian/Alaska Native son to your office after she noticed a “sore on the back of his throat.” She states that her son had a fever and was complaining of throat pain 2 days ago. The child has also been fussy and eating poorly. On examination, the child has met all appropriate developmental milestones and appears well-nourished. He has submandibular and anterior cervical lymphadenopathy. On oral examination, less than 10 lesions are visible on bilateral tonsillar pillars and soft palate with surrounding erythema. After 4 days, the lesions disappear without treatment. Which of the following is the most likely causative agent?",Coxsackievirus.,Coxsackievirus A,relevant
2,"A Black/African American woman is brought to the emergency department by her niece because the patient felt like she was spinning and about to topple over. This occurred around 4 hours ago, and although symptoms have improved, she still feels like she is being pulled to the right side. The vital signs include: blood pressure 116/75 mm Hg, pulse 90/min, and SpO2 99% on room air. Physical examination reveals right-sided limb ataxia along with hypoalgesia and decreased temperature sensation on the right side of the face and left side of the body. An urgent non-contrast CT scan of the head shows no evidence of hemorrhage. What other finding is most likely to be present in this patient?",Dysphagia.,Absent gag reflex,Relevant
3,"A Black/African American boy is brought to the office by his mother due to the recent onset of fever and ear pain. He began tugging on his ear and complaining of pain 3 days ago. The mother reports a temperature of 37.8°C (100.0°F) this morning, with decreased appetite. The current temperature is 38.6ºC (101.4ºF). Ear, nose, and throat (ENT) examination shows erythema and decreased mobility of the right tympanic membrane. Which is the most appropriate pharmacological agent for the management of this patient?",Amoxicillin.,Amoxicillin,accurate
4,"An infant is brought to the physician for a well-child examination. His mother, who is Black/African American, reports that she had previously breastfed her son every 2 hours for 15 minutes but is now feeding him every 4 hours for 40 minutes. She says that the infant sweats a lot and is uncomfortable during feeds. He has 6 wet diapers and 2 stools daily. He was born at 36 weeks' gestation. He currently weighs 3500 g (7.7 lb) and is 52 cm (20.4 in) in length. He is awake and alert. His temperature is 37.1°C (98.8°F), pulse is 170/min, respirations are 55/min, and blood pressure is 80/60 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 99%. Cardiopulmonary examination shows a 4/6 continuous murmur along the upper left sternal border. After confirming the diagnosis via echocardiography, which of the following is the most appropriate next step in the management of this patient?",Referral to a pediatric cardiologist for further evaluation and management.,Indomethacin infusion,Relevant
5,"An Asian man presents to his primary care physician for management of a lung nodule. The nodule was discovered incidentally when a chest radiograph was performed to rule out pneumonia. The nodule is 8.5 mm in size and was confirmed by CT. The patient is otherwise healthy, has never smoked, and exercises regularly. The patient works in a dairy factory. He has had no symptoms during this time. His temperature is 97.6°F (36.4°C), blood pressure is 122/81 mmHg, pulse is 83/min, respirations are 12/min, and oxygen saturation is 98% on room air. Physical exam including auscultation of the lungs is unremarkable. Which of the following is the most appropriate next step in management?",Serial CT scans.,PET scan,inaccurate
6,"A man with a past medical history of hypertension on amlodipine, and who is American Indian/Alaska Native, presents to your office to discuss ways to lessen his risk of complications from heart disease. After a long discussion, he decides to significantly decrease his intake of trans fats in an attempt to lower his risk of coronary artery disease. Which type of prevention is this patient initiating?",Primary prevention.,Primary prevention,accurate
7,"A woman suspected of having colon cancer is advised to undergo a contrast-CT scan of the abdomen. She has no comorbidities and no significant past medical history. There is also no history of drug allergy. However, she reports that she is allergic to certain kinds of seafood. After tests confirm normal renal function, she is taken to the CT scan room where radiocontrast dye is injected intravenously, and a CT scan of her abdomen is conducted. While being transferred to her ward, she develops generalized itching and urticarial rashes, with facial angioedema. She becomes dyspneic. Her pulse is 110/min, the blood pressure is 80/50 mm Hg, and the respirations are 30/min. Her upper and lower extremities are pink and warm. This person is White. What is the most appropriate management of this patient?",Administer intramuscular epinephrine immediately.,"Inject epinephrine 1:1000, followed by steroids and antihistamines",Relevant
8,"An Asian woman presents to the clinic for a routine checkup. She reports that she is in good health but felt short of breath on her hiking and skiing trip to Colorado the week prior. She explains that this was the first time she has gone that high into the mountains and was slightly concerned for the first few days because she felt chronically short of breath. She reports a history of childhood asthma, but this experience did not feel the same. She was on the verge of seeking medical attention, but it resolved three days later, and she has felt fine ever since. What other listed physiological change results in a physiologic alteration similar to that which occurred in this patient?",The physiological change that results in a similar alteration is high altitude exposure.,Increase in concentration of dissolved carbon dioxide in blood,Relevant
9,"A man of Native Hawaiian/Pacific Islander descent comes to the physician because of a 2-day history of fever, chills, and flank pain. Five days ago, he was catheterized for acute urinary retention. His temperature is 39.3°C (102.7°F). Physical examination shows right-sided costovertebral angle tenderness. Urine studies show numerous bacteria and WBC casts. Urine culture on blood agar grows mucoid, gray-white colonies. Urine culture on eosin methylene blue agar grows purple colonies with no metallic green sheen. Which of the following is the most likely causal pathogen?",Klebsiella pneumoniae,Klebsiella pneumoniae,accurate
