Index,Question,Response
0,"During a humanitarian mission to southeast Asia, a 42-year-old man is brought to the outpatient clinic for a long history (greater than 2 years) of progressive, painless, enlargement of his scrotum. The family history is negative for malignancies and inheritable diseases. The personal history is relevant for cigarette smoking (up to 2 packs per day for the last 20 years) and several medical consultations for an episodic fever that resolved spontaneously. The physical examination is unremarkable, except for an enlarged left hemiscrotum that transilluminates. Which of the following accounts for the underlying mechanism in this patient's condition?","The clinical presentation described, especially considering the geographic region of southeast Asia, the progressive, painless enlargement of the scrotum, and the fact that it transilluminates, strongly suggests a condition known as **lymphatic filariasis**.

Lymphatic filariasis is a parasitic disease caused by thread-like nematodes (worms) such as *Wuchereria bancrofti*, *Brugia malayi*, or *Brugia timori*. These parasites are transmitted to humans through mosquito bites. The disease often leads to the blockage of the lymphatic vessels, which can result in the accumulation of lymphatic fluid in the tissues, causing swelling and the characteristic symptom of lymphedema.

Here are the matching points for this diagnosis from the case:
- **Geographic region:** Southeast Asia is endemic for lymphatic filariasis.
- **Painless, progressive scrotal enlargement:** Chronic lymphatic blockage can cause this symptom.
- **Transillumination of the scrotum:** This suggests a fluid-filled sac, such as a hydrocele, which is a common complication of lymphatic filariasis.
- **Negative family history:** Lymphatic filariasis is not an inheritable disease.
- **Personal history:** Though cigarette smoking does not directly relate, episodic fever resolving spontaneously can occur with acute episodes of filariasis-associated lymphangitis.

Therefore, the underlying mechanism in this patient's condition is the **blockage of lymphatic vessels due to parasitic infection by lymphatic filariasis.** The blockage leads to lymph fluid buildup and the consequent enlargement of the scrotum, often manifesting as a hydrocele when it transilluminates.

In summary, the most accurate answer regarding the underlying mechanism in this patient's condition is **blockage of the lymphatic vessels by parasitic nematodes (lymphatic filariasis)**."
1,"A 27-year-old G1P1001 is recovering in the postpartum unit three days after a Caesarean section. Her surgery was indicated for breech presentation of the infant. She was at 40 weeks and 2 days gestation at the time of delivery. The patient is now complaining of purulent discharge and continued heavy bleeding. She also notes difficulty and discomfort with urination. The patient’s prenatal course was complicated by one episode of pyelonephritis, which was treated with intravenous ceftriaxone and suppression nitrofurantoin for the remainder of the pregnancy. The patient has a medical history of generalized anxiety disorder and atopic dermatitis. On the third postpartum day, her temperature is 101.2°F (38.4°C), pulse is 112/min, blood pressure is 118/71 mmHg, and respirations are 13/min. Exam reveals that she is uncomfortable and diaphoretic. Her lochia is purulent with several blood clots, and her uterus is slightly boggy and soft. There is mild tenderness with uterine manipulation. Which of the following is the best next step in management for this patient's condition?","The patient is presenting with symptoms suggestive of postpartum endometritis, a common infection following Cesarean section, particularly given her fever, purulent lochia, and uterine tenderness.

**The best next step in management is to initiate broad-spectrum intravenous antibiotics.**

Given her clinical presentation, she should be started on empiric antibiotic therapy, which typically includes:
- **Clindamycin** plus **Gentamicin**: This combination covers a wide range of Gram-positive, Gram-negative, and anaerobic bacteria.
  
Another commonly used regimen includes:
- **Ampicillin**, **Gentamicin**, and **Metronidazole** or directly:
- **Ampicillin/Sulbactam** or
- **Piperacillin/Tazobactam**

These regimens are effective against common pathogens causing postpartum endometritis, such as anaerobes, Gram-positive cocci, and Gram-negative bacilli.

**Step-by-Step Approach:**
1. **Initiate Broad-Spectrum IV Antibiotics:** Administer antibiotics like clindamycin and gentamicin or another appropriate broad-spectrum antibiotic regimen.
2. **Supportive Care:** Ensure she is adequately hydrated and provide pain relief.
3. **Monitor Vital Signs and Clinical Response:** Regularly evaluate her temperature, heart rate, blood pressure, and overall clinical condition.
4. **Laboratory Investigations:** Although not the immediate next step, obtain cultures (blood and urine) and complete blood count (CBC) to help tailor antimicrobial therapy once culture results are available.
5. **Consider Imaging:** If there is no clinical improvement within 48-72 hours, consider imaging such as ultrasound to rule out retained products of conception or other complications.

Always ensure close follow-up to monitor for any complications or lack of response to treatment."
2,"A previously healthy 19-year-old man is brought to the emergency department by his girlfriend after briefly losing consciousness. He passed out while moving furniture into her apartment. She said that he was unresponsive for a minute but regained consciousness and was not confused. The patient did not have any chest pain, palpitations, or difficulty breathing before or after the episode. He has had episodes of dizziness when exercising at the gym. His blood pressure is 125/75 mm Hg while supine and 120/70 mm Hg while standing. Pulse is 70/min while supine and 75/min while standing. On examination, there is a grade 3/6 systolic murmur at the left lower sternal border and a systolic murmur at the apex, both of which disappear with passive leg elevation. Which of the following is the most likely cause?","Based on the patient's history, clinical presentation, and physical examination findings, the most likely cause of his symptoms is hypertrophic cardiomyopathy (HCM).

Key points that support this diagnosis include:
- The patient's age: HCM often presents in younger individuals, typically in their teens or twenties.
- The syncope episode: Syncope in HCM can result from outflow obstruction, arrhythmias (such as ventricular tachycardia), or abnormal vascular responses.
- The description of the murmur: A systolic murmur at the left lower sternal border that increases with maneuvers such as standing (reducing venous return) and decreases with passive leg elevation (increasing venous return) is characteristic of the dynamic outflow obstruction seen in HCM.
- Episodes of dizziness during exercise: This is common in HCM due to abnormal cardiac output and potential arrhythmias during physical exertion.

Hypertrophic cardiomyopathy is a genetic disorder characterized by asymmetric left ventricular hypertrophy, which can cause a dynamic left ventricular outflow tract obstruction. This obstruction is often accentuated by maneuvers that decrease ventricular filling (such as standing or Valsalva maneuver) and is diminished by those that increase ventricular filling (such as squatting or passive leg elevation).

Thus, the most likely cause of his symptoms is hypertrophic cardiomyopathy."
3,"A 27-year-old woman presents for a checkup. She is 20 weeks pregnant and has been admitted to the hospital multiple times during her pregnancy for seizures. She has a known seizure disorder but discontinued her valproic acid when she became pregnant. The patient's past medical history is otherwise unremarkable. She does not smoke, drink alcohol, or use any drugs. She generally prefers not to take medications and sees a shaman for her care typically. Given her recent hospitalization, the patient agrees to start carbamazepine. Which of the following is the most appropriate treatment for this patient at this time?","In the case of a 27-year-old pregnant woman at 20 weeks gestation with a known seizure disorder who has been hospitalized multiple times for seizures and previously discontinued valproic acid, the decision to start an anti-seizure medication is critically important for both maternal and fetal health.

Given the scenario presented:

1. **Carbamazepine Start**: While carbamazepine can be used during pregnancy and is an option, it is not the first-line choice due to its association with congenital anomalies such as neural tube defects, albeit to a lesser extent than valproic acid.

2. **Alternative Option**: The first-line anti-seizure medications during pregnancy include lamotrigine and levetiracetam, as they have a relatively better safety profile for the fetus compared to other anticonvulsants. Both of these medications require close monitoring of serum levels as their metabolism can change during pregnancy.

3. **Considerations for Medication Choice**:
   - **Lamotrigine**: Generally considered relatively safe during pregnancy with a lower risk of major congenital malformations.
   - **Levetiracetam**: Also considered relatively safe and appears to have a favorable safety profile during pregnancy.

4. **Other Precautions**: Despite the preference for minimal medication by the patient, the risk of uncontrolled seizures outweighs the potential risks of these relatively safer medications. Additionally, folic acid supplementation is recommended for all women of childbearing age who are on antiepileptic drugs to help mitigate the risk of neural tube defects.

5. **Patient Counseling**: It is important to have a thorough discussion with the patient about the risks and benefits of taking antiepileptic medication during pregnancy, considering both maternal and fetal health.

**Most appropriate treatment**:
Given all considerations, the most appropriate treatment would be to initiate an anti-seizure medication with a better safety profile, such as **lamotrigine** or **levetiracetam**, while making sure the patient is taking folic acid.

Therefore, the appropriate course of action could involve starting the patient on either **lamotrigine** or **levetiracetam** and ensuring she takes folic acid supplements. Close monitoring of the patient’s seizure control and medication levels is also crucial throughout her pregnancy."
4,"A 45-year-old woman presents to her primary care physician for an annual checkup. She states that she feels well and has no complaints. She lives alone and works as a banker. She smokes 1 cigarette per day and drinks 2 alcoholic beverages per night. She occasionally gets symmetrical pain in her hands where they change from red to white to blue then return to normal again. Her temperature is 98.7°F (37.1°C), blood pressure is 177/118 mmHg, pulse is 82/min, respirations are 15/min, and oxygen saturation is 99% on room air. The patient's hypertension is treated, and she returns 2 weeks later complaining of weight gain in her legs and arms. On exam, bilateral edema is noted in her extremities. Which of the following is the best next step in management?","Given the patient's symptoms and physical findings, it is important to consider several possible underlying causes. The patient's significant hypertension, combined with recent onset of bilateral edema in her extremities, is concerning and suggests potential cardiovascular or renal pathology. Also, the symptoms suggestive of Raynaud's phenomenon (color changes in her hands) may provide a clue toward a systemic condition.

The hypertension was addressed initially, but the persistence of symptoms and the new finding of bilateral edema necessitate further investigation. Here are some considerations and potential next steps:

1. **Renal Function Tests:** Severe hypertension and edema can be indicative of renal insufficiency or failure. Assessing serum creatinine, blood urea nitrogen (BUN), and electrolytes would help evaluate kidney function.

2. **Urinalysis:** This test can provide information about proteinuria, hematuria, or other abnormalities that could suggest nephrotic syndrome or glomerulonephritis.

3. **Cardiac Assessment:** An electrocardiogram (ECG) and potentially an echocardiogram would assess for hypertensive heart disease, congestive heart failure, or other cardiac abnormalities.

4. **Additional History and Physical Examination:** Further inquiry into other potential symptoms such as changes in urination, dyspnea, or chest pain would be helpful. A more detailed cardiovascular and pulmonary examination is warranted.

5. **Consultation with a Specialist:** Depending on initial findings, a referral to a nephrologist or cardiologist might be appropriate for further evaluation and management.

For this scenario, considering the bilateral edema and significant hypertension, the **best next step** is to perform renal function tests to check for possible kidney issues that could explain her symptoms. Therefore, a detailed **serum creatinine and urinalysis** would be most appropriate to start the evaluation.

If renal and cardiac causes are ruled out, further evaluation for systemic conditions such as connective tissue diseases (e.g., lupus, scleroderma) that could present with Raynaud's phenomenon and secondary changes could also be considered.

**In summary:** The best next step in management is to assess renal function with serum creatinine and a comprehensive urinalysis to evaluate for potential renal causes of her hypertension and edema."
5,"A 42-year-old man comes to the physician because of a 6-month history of progressively worsening shortness of breath with exertion. He was diagnosed with systemic sclerosis 5 years ago. Vital signs are within normal limits. Physical examination shows puffy, taut skin over the fingers. Pulmonary examination is unremarkable. There is no jugular venous distention. An x-ray of the chest shows enlargement of the pulmonary vessels and a prominent right heart border. Cardiac catheterization shows elevated right ventricular pressures and a mean pulmonary artery pressure of 55 mm Hg. Treatment with tadalafil is begun. The expected beneficial effect of this drug is most likely due to which of the following actions?","The patient in this scenario has systemic sclerosis, which has progressed to involve the pulmonary vasculature, resulting in pulmonary arterial hypertension (PAH). Tadalafil is a phosphodiesterase-5 (PDE5) inhibitor used in the treatment of PAH. 

The beneficial effect of tadalafil in this condition is primarily due to its ability to increase cyclic guanosine monophosphate (cGMP) levels. Here’s how it works:

1. **Nitric oxide (NO) pathway**: Endothelial cells in the pulmonary vasculature produce nitric oxide.
2. **cGMP production**: NO stimulates the enzyme guanylate cyclase in the smooth muscle cells of the pulmonary arteries, leading to the production of cGMP.
3. **Vasodilation**: cGMP induces relaxation of the vascular smooth muscle, resulting in vasodilation and decreased pulmonary arterial pressure.
4. **Inhibition of PDE5**: Tadalafil inhibits PDE5, the enzyme responsible for the breakdown of cGMP. By blocking PDE5, tadalafil prevents the degradation of cGMP, thereby prolonging its vasodilatory effect.

Therefore, the expected beneficial effect of tadalafil in this patient is most likely due to **""Decreased breakdown of cGMP""**. This results in sustained vasodilation of the pulmonary arteries, leading to reduced pulmonary arterial pressure and improved symptoms of PAH."
6,"A 17-year-old is brought to his primary care provider by his mother. They are concerned that his acne is getting worse and may leave scars. They have tried several over the counter products without success. He is otherwise healthy and without complaint. The boy was born at 39 weeks gestation via spontaneous vaginal delivery. He is up to date on all vaccines with some delay in reaching developmental milestones, especially in language development. He is having trouble with school and has a history of detentions for misbehavior and acting out. On examination, he stands 6 ft 3 inches tall, considerably taller than either parent or other family members with inflamed pustular acne on his face, shoulders, and chest. He is otherwise healthy. Which of the following karyotypes is most likely associated with this patient’s clinical features?","Given the clinical presentation of the patient, including his tall stature, developmental delays, difficulty in school, misbehavior, and significant acne, a possible underlying genetic condition that should be considered is Klinefelter syndrome.

Klinefelter syndrome typically presents in males and is characterized by the presence of an extra X chromosome. The karyotype for Klinefelter syndrome is \(47,XXY\).

The clinical features of Klinefelter syndrome can include:
- Tall stature
- Learning difficulties, particularly with language
- Behavioral problems
- Delayed developmental milestones
- Certain physical characteristics such as less muscle mass, less facial and body hair, and enlarged breast tissue

The presence of inflamed pustular acne is not specifically indicative of Klinefelter syndrome but can be a part of the broader clinical picture.

Therefore, the karyotype most likely associated with this patient’s clinical features is:

**\(47,XXY\)**"
7,"A 72-year-old man presents to his primary care physician with progressively worsening hearing loss. He states that his trouble with hearing began approximately 7-8 years ago. He is able to hear when someone is speaking to him; however, he has difficulty with understanding what is being said, especially when there is background noise. In addition to his current symptoms, he reports a steady ringing in both ears, and at times experiences dizziness. Medical history is significant for three prior episodes of acute otitis media. Family history is notable for his father being diagnosed with cholesteatoma. His temperature is 98.6°F (37°C), blood pressure is 138/88 mmHg, pulse is 14/min, and respirations are 13/min. On physical exam, when a tuning fork is placed in the middle of the patient's forehead, sound is appreciated equally on both ears. When a tuning fork is placed by the external auditory canal and subsequently on the mastoid process, air conduction is greater than bone conduction. Which of the following is most likely the cause of this patient's symptoms?","The patient's presentation of progressively worsening hearing loss over several years, difficulty understanding speech particularly with background noise, tinnitus (ringing in the ears), and occasional dizziness raises suspicion for sensorineural hearing loss. The physical exam findings, specifically those from the Rinne and Weber tests, support this diagnosis:

1. **Weber test**: When the tuning fork is placed in the middle of the patient's forehead, he perceives the sound equally in both ears. This finding suggests that there is either normal hearing or symmetric sensorineural hearing loss.
2. **Rinne test**: Air conduction is greater than bone conduction (AC > BC), which is a normal finding or consistent with sensorineural hearing loss.

Given the patient's age and the slow progression of symptoms along with the physical exam findings, the most likely cause of the patient's symptoms is **presbycusis**.

### Presbycusis:
Presbycusis is age-related hearing loss that typically manifests as bilateral, symmetric, and gradual sensorineural hearing loss. It is predominantly caused by degenerative changes in the inner ear or central auditory processing pathways. Common features include:
- Difficulty understanding speech, especially in noisy environments.
- Tinnitus (ringing in the ears).
- Possible dizziness or balance issues, though dizziness is less commonly a primary symptom.

### Other Considerations:
- **Cholesteatoma**: Usually causes conductive hearing loss and may present with a history of chronic ear infections, ear discharge, and sometimes gradual hearing loss. The Rinne test would typically show BC > AC in the affected ear.
- **Acoustic Neuroma (Vestibular Schwannoma)**: It can cause unilateral sensorineural hearing loss, tinnitus, and dizziness. The Weber test in such cases would lateralize to the unaffected ear, not equally to both ears.
- **Otosclerosis**: Primarily causes conductive hearing loss with normal Weber test findings and abnormal Rinne test (BC > AC in the affected ear).

Given the information provided and the examination results, **presbycusis** is the most plausible diagnosis for this patient."
8,"A 68-year-old man presents to the office for his annual physical examination. He has no current complaints. Past medical history is unremarkable. He reports a 30-pack-year smoking history but no alcohol or drug use. Review of systems is only remarkable for thicker mucous production that is worse in the morning when he coughs. A non-contrast CT scan of his chest is performed, and the doctor informs him that a 2 cm nodule has been identified in his upper lobe of the left lung near the left main bronchus and that further testing is required to rule out malignancy. The patient is surprised by this news since he has never experienced any alarming symptoms. The doctor informs him that lung cancers don’t usually present with symptoms until late in the course of the disease. The doctor says that sometimes it may take several years before it becomes severe enough to cause symptoms, which is why patients with risk factors for developing lung cancer are screened at an earlier age than the general public. Which of the following concepts is being described by the doctor to this patient?","The concept being described by the doctor to this patient is the **“lead-time bias”** in the context of cancer screening. 

Lead-time bias occurs when early detection of a disease (through screening) increases the amount of time that a person knows they have the disease without necessarily impacting the overall survival. In other words, the disease is diagnosed at an earlier stage due to screening, which makes it seem like the person survives longer because they knew about the disease sooner, even if the actual progression of the disease and the time of death are unchanged.

In this patient's case, lung cancer was identified early during a routine screening, despite the patient not having any specific alarming symptoms. The doctor explains how early detection through screening can catch diseases such as lung cancer before they become symptomatic, which illustrates the principle of lead-time bias.

Understanding lead-time bias is important to help patients comprehend that early diagnosis through screening leads to earlier knowledge of the disease—not necessarily to a cure or longer life span, but to an extended period of knowing they have the disease."
9,"A 24-year-old woman comes to the clinic complaining of headache and sinus drainage for the past 13 days. She reports cold-like symptoms 2 weeks ago that progressively got worse. The patient endorses subjective fever, congestion, sinus headache, cough, and chills. She claims that this is her 5th episode within the past year and is concerned if “there’s something else going on.” Her medical history is significant for asthma that is adequately controlled with her albuterol inhaler. Her laboratory findings are shown below:

Serum:
Hemoglobin: 16.2 g/dL
Hematocrit: 39 %
Leukocyte count: 7,890/mm^3 with normal differential
Platelet count: 200,000/mm^3
IgA: 54 mg/dL (Normal: 76-390 mg/dL)
IgE: 0 IU/mL (Normal: 0-380 IU/mL)
IgG: 470 mg/dL (Normal: 650-1500 mg/dL)
IgM: 29 mg/dL (Normal: 40-345 mg/dL)

What is the most likely diagnosis?","The clinical picture provided, along with the laboratory findings, suggests that the most likely diagnosis is **Common Variable Immunodeficiency (CVID)**. 

CVID is an immune disorder characterized by low levels of most or all of the immunoglobulin (Ig) classes, recurrent infections, and an impaired ability to produce specific antibodies. This patient presents with recurrent sinus infections, suggesting susceptibility to bacterial infections, accompanied by the following indicative lab abnormalities:

- Low IgA: 54 mg/dL (Normal: 76-390 mg/dL)
- Low IgG: 470 mg/dL (Normal: 650-1500 mg/dL)
- Low IgM: 29 mg/dL (Normal: 40-345 mg/dL)

Her history of asthma adds a background of chronic respiratory issues, but the recurrent sinus infections and decreased immunoglobulin levels across multiple classes and normal leukocyte counts in the presence of chronic sinus problems necessitate considering CVID.

In summary, the combination of her clinical symptoms of recurrent sino-pulmonary infections and her specific immunoglobulin profile suggests Common Variable Immunodeficiency as the most likely diagnosis."
