Index,Question,Response,Answer,Accuracy
0,"An individual comes to the physician because of blisters on their forearm that appeared 3 days ago. They also report pain in their cheek when eating and pain during sexual intercourse for the past week. They have not been sick for the past 6 months. They have started hiking in the woods on the weekends with a family member a couple months ago but have been careful to avoid poison ivy. They have a history of hypertension and osteoarthritis. They recently started taking captopril and stopped taking meloxicam 2 weeks ago. They have a family history of pernicious anemia and Graves' disease. The patient's vital signs are within normal limits. Examination reveals multiple, flaccid blisters on the volar surface of the forearm and ulcers on the buccal, gingival, and vulvar mucosa. The epidermis on the forearm separates when the skin is lightly stroked. The total body surface area involvement of the blisters is estimated to be 10%. The remainder of the examination shows no abnormalities. The patient is Native Hawaiian/Pacific Islander. Which of the following is the most likely diagnosis?",Pemphigus vulgaris,Pemphigus vulgaris,accurate
1,"A White person presents to their physician concerned about wet spots on the inside part of their dress shirts, which they think may be coming from one of their breasts. They state that it is painless and that the discharge is usually blood-tinged. They deny any history of malignancy in their family and state that they have been having regular periods since they first started at age 13. They do not have any children. The patient has normal vitals and denies any cough or fever. On exam, there are no palpable masses, and the patient does not have any erythema or induration. What is the most likely diagnosis?",Intraductal papilloma.,Intraductal papilloma,accurate
2,"An Asian individual comes to the physician because of worsening fatigue and a 1-week history of gingival bleeding. They have also had decreased appetite and a 5-kg (11-lb) weight loss over the past month. They have tried over-the-counter vitamin supplements with no relief of symptoms. They appear pale. Their temperature is 37.8° C (100.0°F), pulse is 72/min, and blood pressure is 120/70 mm Hg. Physical examination shows numerous petechial lesions over the upper and lower extremities. A bone marrow smear is shown. Which of the following additional findings is most likely in this patient?",A high leukocyte count with a predominance of immature cells (blasts).,Peroxidase-positive granules,Relevant
3,"A White individual presents to their primary care clinic for a general checkup. They mention feeling a bit more fatigued lately during finals season but are otherwise well. Their mother and sibling have hypothyroidism. They deny fatigue, weight gain, cold intolerance, constipation, heavy or irregular menses, or changes in the quality of their hair, skin, or nails. Physical exam is unremarkable. Laboratory studies are ordered as seen below.

Hemoglobin: 14 g/dL
Hematocrit: 40%
Leukocyte count: 5,500/mm^3 with normal differential
Platelet count: 188,000/mm^3

Serum:
Na+: 139 mEq/L
Cl-: 102 mEq/L
K+: 4.4 mEq/L
HCO3-: 24 mEq/L
BUN: 20 mg/dL
Glucose: 99 mg/dL
Creatinine: 0.8 mg/dL
Ca2+: 10.2 mg/dL
Antithyroid peroxidase Ab: Positive
AST: 12 U/L
ALT: 10 U/L

Which of the following laboratory values is most likely in this patient?",Elevated serum TSH level,Normal TSH and normal T4,Inaccurate
4,"An individual, gravida 2, para 1, who is Black/African American at 35 weeks' gestation is brought to the emergency department for the evaluation of continuous, dark, vaginal bleeding and abdominal pain for one hour. Their first child was delivered by lower segment transverse cesarean section because of a nonreassuring fetal heart rate. The individual has a history of hypertension and has been noncompliant with their hypertensive regimen. Their medications include methyldopa, folic acid, and a multivitamin. Their pulse is 90/min, respirations are 16/min, and blood pressure is 145/90 mm Hg. The abdomen is tender, and hypertonic contractions can be felt. There is blood on the vulva, the introitus, and on the medial aspect of both thighs. The fetus is in a breech presentation. The fetal heart rate is 180/min with recurrent decelerations. Which of the following is the cause of fetal compromise?",Abruptio placentae,Detachment of the placenta,accurate
5,"A White individual with a history of alcohol binge drinking and polysubstance use is found down in a hotel room with bottles of alcohol, oxycodone, alprazolam, amphetamine-dextroamphetamine, and tadalafil. When EMS arrives, the person appears comatose with pinpoint pupils and an oxygen saturation of 80% on room air. Intubation is performed at the scene and the individual is airlifted to the nearest intensive care unit. Body temperature is 95 degrees F (35 degrees C). Creatine phosphokinase is 12,000 U/L. MRI of the brain demonstrates extensive infarcts consistent with acute hypoxic ischemic injury. Which of the following substances is the likely culprit for the overdose?",Oxycodone.,Opioids,accurate
6,"An individual is brought to their pediatrician by a caregiver after complaining of worsening left thumb pain for the last two weeks. The caregiver reports that the patient was previously healthy. Approximately 2 weeks ago, the family cat bit the patient’s thumb. The area around the bite wound then became red, hot, and slightly swollen and never healed. Earlier this week, the patient also started developing fevers that were recorded at home to be as high as 103.6°F. On exam, the patient's temperature is 102.2°F (39.0°C), blood pressure is 112/72 mmHg, pulse is 92/min, and respirations are 14/min. The patient’s left thumb is tender to touch over the proximal phalanx and the interphalangeal joint, but there is no obvious erythema or swelling. A radiograph performed in clinic is concerning for osteomyelitis at the proximal phalanx. The patient is White. Which of the following is the most likely cause of this patient’s condition?",Pasteurella multocida,Pasteurella multocida,accurate
7,An American Indian/Alaska Native individual with a history of ulcerative colitis presents to the emergency department with a severe flare. The patient reports numerous bloody loose stools and has been febrile for two days. Vital signs are: T 101.9 HR 98 BP 121/86 RR 17 Sat 100%. The abdominal exam is notable for a markedly distended abdomen with tympani and tenderness to palpation without guarding or rebound. KUB is shown in figure A. A CT scan shows a markedly dilated descending and sigmoid colon with no perforations. What is the next best step in management for this patient?,Initiate intravenous corticosteroids and consider urgent surgical consultation.,IV hydrocortisone,Relevant
8,"An individual of Native Hawaiian/Pacific Islander descent presents with a nodule on their right foot. They first noticed the nodule last week, and it has not changed in size or color. They deny any history of trauma or fever. Their past medical history is significant for HIV, diagnosed 6 years ago, and they are currently not on antiretroviral therapy. Their last CD4+ T cell count was 0.19 x 10^9/L. They are afebrile, and their vital signs are within normal limits. On physical examination, there is a 3 cm x 4 cm nodule on the right foot, tan brown in color, non-tender, and covered with a fine scale. A biopsy of the nodule is performed and histopathological analysis reveals the proliferation of blood vessels with overgrown endothelial cells. Histological staining of the biopsy tissue reveals gram-negative bacilli. Which of the following is the best course of treatment for this patient?",Initiate antiretroviral therapy (ART) and prescribe systemic antibiotics targeting Bartonella species.,Erythromycin,Relevant
9,"An American Indian/Alaska Native individual presents to the pediatrician after two days of tea-colored urine which appeared to coincide with the first day of junior high football. The individual explains that they refused to go back to practice because they were humiliated by the other players due to quick and excessive fatigue after a set of drills, accompanied by pain in their muscles. A blood test revealed elevated creatine kinase and myoglobulin levels. A muscle biopsy was performed revealing large glycogen deposits and an enzyme histochemistry showed a lack of myophosphorylase activity. Which of the following reactions is not occurring in this individual?",The conversion of glycogen to glucose-1-phosphate.,Breaking down glycogen to glucose-1-phosphate,accurate
10,"An American Indian/Alaska Native presents to the physician with complaints of 5 days of watery diarrhea, fever, and bloating. They have not noticed any blood in their stool. They state that their diet has not changed recently, and their family has been spared from diarrhea symptoms despite eating the same foods that they have been cooking at home. They have no history of recent travel outside the United States. Their only medication is high-dose omeprazole, which they have been taking daily for the past few months to alleviate gastroesophageal reflux disease (GERD). Which of the following is the most appropriate initial test to work up their symptoms?",Stool culture and Clostridium difficile toxin assay,Stool toxin assay,Relevant
11,"A person of Asian descent calls the pediatrician because a child began wetting the bed days after the birth of a new sibling. The person punished the child for bedwetting, but it only made the situation worse. The pediatrician advised them to talk with the child about their feelings, refrain from drinking water near bedtime, and praise the child when the bed is kept dry. Which of the following best describes the reappearance of bedwetting?",Sibling rivalry.,Regression,Inaccurate.
12,"A Native Hawaiian/Pacific Islander person is brought to the emergency department following a motor vehicle collision. This person has significant pain and weakness in their right arm and hand. Physical examination shows multiple ecchymoses and tenderness in the right upper extremity. They are able to make a fist, but there is a marked decrease in grip strength. An x-ray of the right upper extremity shows a midshaft humerus fracture. Which of the following structures is most likely injured?",Radial nerve,Radial nerve,accurate
13,"A Black/African American individual presents to a gynecologist's office with a chief complaint of irregular periods. In the past 2 years, they have often gone more than 3 months without menstruating. They had their first menstrual period at 13 years old, and prior to the past 2 years, they had regular periods every 28 days lasting 5 days with normal flow and no pain. They deny other symptoms such as headache, vision changes, excessive fatigue or sweating, feelings of a racing heart, or hair loss. Since starting college, they have been bothered by weight gain and acne, which they attribute to a habit of late-night pizza and french fries. On exam, they appear well but have severe acne, with a temperature of 98.6°F (37°C), blood pressure of 120/80 mmHg, a pulse of 60/min, and a BMI of 30 kg/m^2. Lab work confirms the most likely diagnosis and includes a Hemoglobin A1c of 5.4. If they are not interested in childbearing at this time, what is the best initial medication to treat this disease?",Oral contraceptive pills.,Ethinyl estradiol - norgestimate,Relevant
14,An American Indian/Alaska Native individual is brought to the emergency department because of severe right shoulder pain and inability to move the shoulder for the past 30 minutes. The pain began after being tackled while playing football. There is nausea but no vomiting. The individual is in no apparent distress. Examination shows the right upper extremity externally rotated and slightly abducted. Palpation of the right shoulder joint shows tenderness and an empty glenoid fossa. The right humeral head is palpated below the coracoid process. The left upper extremity is unremarkable. The radial pulses are palpable bilaterally. Which of the following is the most appropriate next step in management?,Closed reduction.,Test sensation of the lateral shoulder,Inaccurate.
15,"A previously healthy White child is brought to the physician by a parent because of a headache, fever, and facial pain that started 10 days ago. The symptoms initially improved but have gotten significantly worse over the past 2 days. Immunizations are up-to-date. The temperature is 39.1°C (102.3°F). Physical examination shows tenderness to palpation over both cheeks. Gram stain of a nasal swab shows small, gram-negative coccobacilli. Which of the following most likely accounts for this patient's infection with the causal pathogen?",Nontypeable Haemophilus influenzae infection most likely accounts for this patient's infection with the causal pathogen.,Causal pathogen is unencapsulated,Accurate
16,"A White individual presenting to their gynecologist complains of irregular menstruation, having had only two periods in the last year. They also experience feeling flushed without provocation, occasional dyspareunia with post-coital spotting, and more frequent headaches than usual. The person has a past medical history of Hashimoto’s thyroiditis and takes levothyroxine daily. Their mother has type I diabetes mellitus. At this visit, the individual's temperature is 98.5°F (36.9°C), pulse is 70/min, blood pressure is 118/76 mmHg, and respirations are 13/min. Cardiopulmonary and abdominal exams are unremarkable. They have Tanner V breasts and pubic hair. Pelvic exam reveals a normal cervix, anteverted uterus without tenderness, and no adnexal masses. The following laboratory studies are performed:

Serum:
Thyroid stimulating hormone (TSH): 28 µIU/mL (9-30 µIU/mL)
Cycle day 3 follicle stimulating hormone (FSH): 49 mIU/mL (4.7-21.5 mIU/mL)
Cycle day 3 estradiol: 8 pg/mL (27-123 pg/mL)
Prolactin: 14 ng/mL (4-23 ng/mL)
Testosterone: 42 ng/dL (15-70 ng/dL)

Which of the following is the best next step in management?",Initiate hormone replacement therapy.,Estradiol patch with oral medroxyprogesterone,Relevant
17,"An Asian individual is brought to the emergency department with the acute onset of severe abdominal pain for the past 2 hours. They have a history of frequent episodes of vague abdominal pain, but it has never been this severe. Every time they have had pain, it would resolve after eating a meal. Their past medical history is otherwise insignificant. Their vital signs include: blood pressure 121/77 mm Hg, pulse 91/min, respiratory rate 21/min, and temperature 37°C (98.6°F). On examination, their abdomen is flat and rigid. Which of the following is the next best step in evaluating this individual’s discomfort and stomach pain by physical exam?",Abdominal radiography.,Auscultate the abdomen,Inaccurate
18,"A Black/African American individual is brought to the emergency room by their partner, complaining, ""I can’t see out of my right eye."" They were watching television last night when they covered their left eye due to an itch and discovered that they could not see. The individual denies any precipitating event, pain, swelling, flashes, floaters, or headaches. Their past medical history is significant for uncontrolled hypertension and angina. Their medications include hydrochlorothiazide, lisinopril, atorvastatin, and nitroglycerin as needed. The physical examination is unremarkable. Fundus examination demonstrates generalized pallor and slight disc edema with no hemorrhages. What is the most likely explanation for this individual's symptoms?",Central retinal artery occlusion (CRAO).,Occlusion of the ophthalmic artery by embolus,Relevant
19,"A child presents to the emergency department for malaise. The parents report worsening fatigue for 3 days with associated irritability and anorexia. The patient's newborn screening revealed a point mutation in the beta-globin gene, but the patient has otherwise been healthy since birth. On physical exam, the temperature is 102.4°F (39.1°C), blood pressure is 78/42 mmHg, pulse is 124/min, and respirations are 32/min. The child is tired-appearing and difficult to soothe. The child's race is Native Hawaiian/Pacific Islander. Laboratory testing is performed and reveals the following:

Serum:
Na+: 137 mEq/L
Cl-: 100 mEq/L
K+: 4.4 mEq/L
HCO3-: 24 mEq/L
Urea nitrogen: 16 mg/dL
Creatinine: 0.9 mg/dL
Glucose: 96 mg/dL

Leukocyte count: 19,300/mm^3 with normal differential
Hemoglobin: 7.8 g/dL
Hematocrit: 21%
Mean corpuscular volume: 82 um^3
Platelet count: 324,000/mm^3
Reticulocyte index: 3.6%

Which of the following is the most likely causative organism for this patient's presentation?",Streptococcus pneumoniae,Streptococcus pneumoniae,accurate
