Index,Question,Response,Answer,Accurate
0,"During a humanitarian mission to southeast Asia, an individual is brought to the outpatient clinic for a long history (greater than 2 years) of progressive, painless, enlargement of their scrotum. The family history is negative for malignancies and inheritable diseases. The personal history is relevant for cigarette smoking (up to 2 packs per day for the last 20 years) and several medical consultations for an episodic fever that resolved spontaneously. The physical examination is unremarkable, except for an enlarged left hemiscrotum that transilluminates. Which of the following accounts for the underlying mechanism in this patient's condition?","Based on the details provided, the patient's condition appears to be characterized by a progressive, painless enlargement of the scrotum over a long period, a background of episodic fever, and physical examination findings of an enlarged left hemiscrotum that transilluminates. These features are highly suggestive of **lymphatic filariasis**, particularly caused by **Wuchereria bancrofti**, which is a common parasitic infection in certain parts of Southeast Asia.

Here is a detailed explanation of the underlying mechanism:

1. **Etiology**: Lymphatic filariasis is caused by the parasitic worms Wuchereria bancrofti, Brugia malayi, and Brugia timori. The most common causative agent globally is Wuchereria bancrofti.

2. **Transmission**: The parasites are transmitted to humans through the bite of an infected mosquito, commonly the Culex, Anopheles, or Aedes species.

3. **Pathophysiology**:
   - Once inside the human host, the larvae migrate to the lymphatic system, where they mature into adult worms.
   - The adult worms reside in the lymphatic vessels and nodes, where they cause obstruction of lymphatic drainage.
   - Chronic infection results in a gradual accumulation of lymphatic fluid in the affected areas due to the impaired drainage caused by inflammation, fibrosis, and eventual obliteration of the lymphatic vessels. This leads to tissue swelling and enlargement, known as lymphedema.
   - In the scrotum, this condition can progress to form a hydrocele, characterized by the accumulation of fluid around the testicle, which transilluminates due to its fluid-filled nature.

4. **Symptoms and Clinical Findings**:
   - Chronic lymphedema resulting in painless swelling and enlargement of the limbs or genitalia.
   - Repeated episodes of fever known as acute adenolymphangitis, which corresponds to the episodic fever mentioned in the patient's history.
   - The absence of other systemic symptoms or malignancies helps differentiate it from other conditions like cancer.

Given these points, the underlying mechanism for the patient's condition is the **chronic obstruction of lymphatic drainage caused by adult filarial worms residing in the lymphatic system**, leading to **lymphedema and hydrocele formation**. This is a classic presentation of lymphatic filariasis, especially in endemic regions.",Decreased lymphatic fluid absorption,Yes
1,"A G1P1001 individual is recovering in the postpartum unit three days after a Caesarean section performed due to breech presentation of the infant. Delivery occurred at 40 weeks and 2 days gestation. The patient is now complaining of purulent discharge and continued heavy bleeding, as well as difficulty and discomfort with urination. The prenatal course was complicated by one episode of pyelonephritis treated with intravenous ceftriaxone and suppression nitrofurantoin for the remainder of the pregnancy. Medical history includes generalized anxiety disorder and atopic dermatitis. On the third postpartum day, temperature is 101.2°F (38.4°C), pulse is 112/min, blood pressure is 118/71 mmHg, and respirations are 13/min. The exam reveals that the patient is uncomfortable and diaphoretic. Lochia is purulent with several blood clots, and the uterus is slightly boggy and soft with mild tenderness upon uterine manipulation. Which of the following is the best next step in management for this patient's condition?","The patient described is presenting with symptoms indicative of a postpartum infection, likely endometritis, given the purulent lochia, heavy bleeding, uterine tenderness, and elevated temperature. Endometritis is a common postpartum infection, particularly following a Cesarean section, and it typically requires prompt antibiotic treatment.

The best next step in management for this patient is to initiate broad-spectrum intravenous antibiotics. The combination of clindamycin and gentamicin is commonly used due to their effectiveness against the polymicrobial nature of endometritis, covering both aerobic and anaerobic bacteria.

### Recommended Management:
1. **Initiate broad-spectrum intravenous antibiotics**:
   - **Clindamycin and gentamicin**: This combination covers a wide range of aerobic and anaerobic pathogens. Clindamycin provides good anaerobic coverage, while gentamicin is effective against aerobic Gram-negative organisms.
   - An alternative regimen could include ampicillin and sulbactam or a combination of other antibiotics as per hospital protocol and microbial culture results.

2. **Monitor the patient's vital signs and clinical response to antibiotics**: Close monitoring is necessary to ensure the patient is responding to treatment and not worsening.

3. **Assess for additional complications**: The patient’s difficulty and discomfort with urination may suggest a urinary tract infection (UTI) or even a retained bladder catheter effect secondary to the Cesarean section, which should be evaluated and managed accordingly.

Further diagnostic workup like blood cultures, urine cultures, and possibly ultrasound to rule out retained products of conception or abscess might be part of the management plan but should not delay the initiation of empiric antibiotics.

### Key Points:
- The patient's symptoms and clinical findings are consistent with postpartum endometritis.
- Prompt initiation of broad-spectrum IV antibiotics is crucial.
- Continuous monitoring and potential additional diagnostic evaluations may be necessary.

By addressing the infection swiftly with appropriate antibiotic therapy, the risk of severe complications such as sepsis can be minimized, and the patient’s recovery can be supported effectively.",Clindamycin and gentamicin,Yes
2,"A previously healthy individual is brought to the emergency department after briefly losing consciousness while moving furniture. A companion reports that they were unresponsive for a minute but regained consciousness without confusion. The individual did not experience any chest pain, palpitations, or difficulty breathing before or after the episode. They have had episodes of dizziness when exercising at the gym. Blood pressure is 125/75 mm Hg while supine and 120/70 mm Hg while standing. Pulse is 70/min while supine and 75/min while standing. On examination, there is a grade 3/6 systolic murmur at the left lower sternal border and a systolic murmur at the apex, both of which disappear with passive leg elevation. Which of the following is the most likely cause?","The clinical scenario described suggests the most likely cause is **hypertrophic obstructive cardiomyopathy (HOCM)**.

### Key Points Supporting HOCM:
1. **Brief Loss of Consciousness (Syncope) During Exertion**: HOCM is a common cause of syncope, particularly during physical activity due to outflow obstruction that worsens with exertion.
2. **Dizziness with Exercise**: This symptom is consistent with impaired cardiac output under conditions that increase myocardial oxygen demand or reduce preload.
3. **Murmurs that Change with Posture**:
    - Systolic murmur at the left lower sternal border.
    - Systolic murmur at the apex.
    - Both murmurs disappear with passive leg elevation, which increases venous return/preload and reduces the intensity of the obstruction and hence the murmur.
4. **Absence of Symptoms Typically Linked to Other Conditions**:
    - No chest pain, reducing the likelihood of myocardial ischemia.
    - No palpitations or difficulty breathing, making primary arrhythmias or respiratory causes less likely.
5. **Normal Orthostatic Vital Signs**: The patient's blood pressure and heart rate are stable when moving from supine to standing, reducing the likelihood of vasovagal syncope or orthostatic hypotension.

### Pathophysiology of HOCM:
- HOCM is characterized by asymmetric hypertrophy of the interventricular septum, which can lead to left ventricular outflow tract obstruction.
- The murmur associated with HOCM typically increases with maneuvers that decrease preload (e.g., standing or Valsalva maneuver) and decreases with maneuvers that increase preload (e.g., squatting or passive leg elevation).
  
### Diagnosis and Management:
- **Echocardiography** is the diagnostic test of choice and would show asymmetric septal hypertrophy and possibly systolic anterior motion of the mitral valve.
- **Management** often includes beta-blockers or calcium channel blockers to reduce myocardial demand and decrease outflow obstruction. Severe cases might need surgical intervention like septal myectomy.

Given the presentation and findings, HOCM is the most likely diagnosis.",Hypertrophic cardiomyopathy,Yes
3,"An individual presents for a checkup. They are 20 weeks pregnant and have been admitted to the hospital multiple times during their pregnancy for seizures. They have a known seizure disorder but discontinued their valproic acid when they became pregnant. The patient's past medical history is otherwise unremarkable. They do not smoke, drink alcohol, or use any drugs. They generally prefer not to take medications and typically see a shaman for their care. Given their recent hospitalization, the patient agrees to start carbamazepine. Which of the following is the most appropriate treatment for this patient at this time?","The most appropriate treatment for this patient is the one that balances the management of their seizure disorder with the safety of the ongoing pregnancy. While valproic acid is generally avoided during pregnancy due to its teratogenic effects, especially during the first trimester, carbamazepine is often considered a safer alternative, although it too carries some risk of birth defects. 

Given that the patient has agreed to start carbamazepine and considering the context of her pregnancy and recent hospitalizations for seizures, the following steps should be taken:

1. **Initiate Carbamazepine:**
   - Start the patient on carbamazepine as agreed. The dosing must be managed carefully and titrated according to therapeutic drug monitoring and seizure control.

2. **Folic Acid Supplementation:**
   - It is crucial to prescribe a high dose of folic acid (4-5 mg daily), especially since antiepileptic drugs like carbamazepine can interfere with folate metabolism, which is important for neural tube development in the baby.

3. **Regular Monitoring:**
   - Conduct regular monitoring of carbamazepine levels to ensure therapeutic levels are maintained without reaching toxicity.
   - Regular ultrasound scans to monitor fetal development and detect any anomalies early, although carbamazepine is less teratogenic than valproate, some risk still exists.

4. **Seizure Diary and Regular Follow-ups:**
   - Encourage the patient to maintain a seizure diary to track any seizure activity and report immediately if there are breakthrough seizures.
   - Schedule regular follow-ups to adjust the medication dosage as necessary based on seizure control and any side effects experienced.

5. **Collaboration with Obstetric and Neurology Specialists:**
   - Maintain close collaboration with both obstetricians and neurologists to manage the dual aspects of pregnancy and seizure control effectively.
   - Ensure the obstetrician is aware of this medication due to its implications for the pregnancy.

6. **Counseling and Support:**
   - Provide thorough counseling on the importance of medication adherence to prevent seizures, which can pose significant risks to both the mother and the fetus.
   - Discuss the potential risks and benefits of the medication in the context of pregnancy, providing reassurance and support.

Given these considerations, starting carbamazepine along with the above measures represents the most suitable treatment plan for the patient in this specific situation.",Folate,No
4,"An individual presents to their primary care physician for an annual checkup, stating that they feel well and have no complaints. They live alone and work as a banker. They smoke 1 cigarette per day and drink 2 alcoholic beverages per night. They occasionally experience symmetrical pain in their hands where the color changes from red to white to blue before returning to normal. Their temperature is 98.7°F (37.1°C), blood pressure is 177/118 mmHg, pulse is 82/min, respirations are 15/min, and oxygen saturation is 99% on room air. Their hypertension is treated, and they return 2 weeks later complaining of weight gain in their legs and arms. On exam, bilateral edema is noted in their extremities. Which of the following is the best next step in management?","Given the patient's presentation and clinical findings, there are multiple considerations in their management. The high blood pressure reading (177/118 mmHg) is concerning for severe hypertension, which is a primary issue that needs to be managed aggressively. Additionally, the patient presents with bilateral edema, suggesting possible systemic issues, such as heart failure, renal dysfunction, or liver disease. 

The patient's symptoms of symmetrical pain in the hands with color changes (from red to white to blue) are suggestive of Raynaud's phenomenon, which can occur secondary to various conditions such as connective tissue diseases.

Considering the clinical context, the best next step in management is a comprehensive approach, including:

1. **Address the Hypertension:**
   - Reevaluate and possibly intensify antihypertensive therapy. Severe hypertension can lead to or exacerbate conditions like heart failure, which might explain the edema.
   - Investigate for secondary causes of hypertension, considering the new onset of edema and other systemic symptoms.

2. **Baseline Lab and Diagnostic Tests:**
   - **Complete blood count (CBC)**
   - **Basic metabolic panel (BMP)** to evaluate renal function and electrolytes.
   - **Liver function tests (LFTs)**
   - **Urinalysis** to check for proteinuria or other kidney issues.
   - **Electrocardiogram (ECG)** to assess for any cardiac abnormalities that might be occurring secondary to hypertension.
   - **Chest X-ray** and potentially an **echocardiogram** to evaluate for signs of heart failure given the bilateral edema.
   
3. **Evaluate Raynaud's Phenomenon:**
   - Consider referral to a rheumatologist for further evaluation of underlying connective tissue disease if the Raynaud's phenomenon is confirmed.
   
4. **Lifestyle Modifications:**
   - Address smoking cessation despite the low number of cigarettes per day.
   - Discuss alcohol use, as two alcoholic beverages per night could have long-term impacts on liver function and hypertension.

Given the bilateral edema and significant hypertension, a thorough cardiovascular evaluation is essential to rule out heart failure. Timely intervention is crucial for managing potential complications and identifying the underlying cause of the symptoms. Hence, these diagnostic steps coupled with an adjustment of antihypertensive treatment and lifestyle interventions represent the best next steps in management.",Lisinopril,Yes
5,"An individual comes to the physician because of a 6-month history of progressively worsening shortness of breath with exertion. They were diagnosed with systemic sclerosis 5 years ago. Vital signs are within normal limits. Physical examination shows puffy, taut skin over the fingers. Pulmonary examination is unremarkable. There is no jugular venous distention. An x-ray of the chest shows enlargement of the pulmonary vessels and a prominent right heart border. Cardiac catheterization shows elevated right ventricular pressures and a mean pulmonary artery pressure of 55 mm Hg. Treatment with tadalafil is begun. The expected beneficial effect of this drug is most likely due to which of the following actions?","The patient has a history of systemic sclerosis and presents with symptoms and signs indicative of pulmonary arterial hypertension (PAH), a common complication of systemic sclerosis. This condition can lead to elevated pressures in the pulmonary arteries and the right side of the heart, as demonstrated by the cardiac catheterization results.

Tadalafil is a phosphodiesterase-5 (PDE-5) inhibitor. The expected beneficial effect of tadalafil in the treatment of PAH is most likely due to its action of increasing cyclic guanosine monophosphate (cGMP) levels, which leads to the relaxation of pulmonary vascular smooth muscle.

Here's a more detailed explanation of the mechanism:

1. **Phosphodiesterase-5 (PDE-5) Inhibition**: Tadalafil inhibits the enzyme PDE-5, which is responsible for the breakdown of cGMP.
   
2. **Increased cGMP Levels**: By inhibiting PDE-5, tadalafil leads to increased intracellular levels of cGMP.
   
3. **Vasodilation**: Elevated levels of cGMP promote relaxation of smooth muscle cells, leading to vasodilation.

4. **Reduction in Pulmonary Vascular Resistance**: This vasodilation effect specifically targets the pulmonary arteries, decreasing pulmonary vascular resistance.

5. **Improved Hemodynamics**: The overall effect is reduced pulmonary arterial pressure and improved blood flow through the lungs, consequently reducing the load on the right side of the heart.

Therefore, the beneficial effect of tadalafil in this context is most likely due to **increasing cGMP in pulmonary vascular smooth muscle, leading to vasodilation and decreased pulmonary arterial resistance**. This helps improve the symptoms and hemodynamics in patients with PAH secondary to systemic sclerosis.",Enhanced activity of nitric oxide,Yes
6,"An individual is brought to their primary care provider by a parent. They are concerned that the individual's acne is getting worse and may leave scars. They have tried several over-the-counter products without success. The individual is otherwise healthy and without complaint. They were born at 39 weeks gestation via spontaneous vaginal delivery. They are up to date on all vaccines with some delay in reaching developmental milestones, especially in language development. They are having trouble with school and have a history of detentions for misbehavior and acting out. On examination, the individual stands 6 ft 3 inches tall, considerably taller than either parent or other family members, with inflamed pustular acne on the face, shoulders, and chest. They are otherwise healthy. Which of the following karyotypes is most likely associated with this individual’s clinical features?","The individual described displays several clinical features that suggest a specific chromosomal abnormality. These features include delayed language development, difficulties in school and behavioral issues, excessive height compared to family members, and severe acne. Given this presentation, the most likely associated karyotype is:

**47,XYY (XYY syndrome)**

XYY syndrome is characterized by the presence of an extra Y chromosome in males and can lead to a variety of physical, developmental, and behavioral challenges. Key features often include:

- Increased height compared to peers and family, often becoming noticeable in childhood or adolescence.
- Learning difficulties, particularly with language and speech delays.
- Behavioral problems, including difficulties with impulse control and a higher likelihood of involvement in antisocial behavior.
- Severe acne, which can be more pronounced due to hormonal influences associated with the extra Y chromosome.

While not all individuals with XYY syndrome will experience every symptom, the combination of significant height, developmental delays, and behavioral issues strongly suggests this karyotype. Thus, **47,XYY** is the most likely karyotype associated with the individual's clinical features.",47 XYY,Yes
7,"An individual presents to their primary care physician with progressively worsening hearing loss, which began approximately 7-8 years ago. They are able to hear when someone is speaking directly to them; however, they have difficulty understanding what is being said, especially in the presence of background noise. Additionally, they report a steady ringing in both ears and occasional dizziness. Medical history includes three prior episodes of acute otitis media, and family history is notable for a relative being diagnosed with cholesteatoma. Vital signs are a temperature of 98.6°F (37°C), blood pressure of 138/88 mmHg, pulse of 14/min, and respirations of 13/min. On physical exam, when a tuning fork is placed in the middle of the patient's forehead, sound is appreciated equally in both ears. When a tuning fork is placed by the external auditory canal and subsequently on the mastoid process, air conduction is greater than bone conduction. Which of the following is most likely the cause of this individual's symptoms?","The individual's symptoms and examination findings suggest sensorineural hearing loss rather than conductive hearing loss, despite the family history of cholesteatoma which typically causes conductive hearing loss. The progressively worsening hearing loss, difficulty understanding speech, especially in noisy environments, tinnitus (ringing in the ears), and occasional dizziness (which suggests possible involvement of the vestibular system) all point towards a sensorineural etiology.

The key examination findings using the tuning fork, particularly the Rinne and Weber tests, support this:
1. **Weber test**: When a tuning fork is placed in the middle of the forehead, sound is heard equally in both ears. This suggests either normal hearing or bilateral sensorineural hearing loss.
2. **Rinne test**: When the tuning fork is placed by the external auditory canal (air conduction) and then on the mastoid process (bone conduction), air conduction being greater than bone conduction is noted, which is typical for normal hearing or sensorineural hearing loss.

Given the symptomatology and the clinical findings, the most likely cause of this individual's symptoms is **bilateral sensorineural hearing loss**. This type of hearing loss is often caused by age-related changes (presbycusis), exposure to loud noises, ototoxic medications, or other factors affecting the inner ear or auditory nerve.

### Most Likely Cause:
**Bilateral age-related sensorineural hearing loss (presbycusis)**

This condition fits the individual's clinical presentation better than other differentials considering the gradual onset over years, the impact on understanding speech in noise, and the presence of tinnitus and occasional dizziness.",Cochlear hair cell degeneration,No
8,"An individual presents to the office for their annual physical examination with no current complaints. They have a history of smoking but no alcohol or drug use. During a review of systems, they report thicker mucous production that is worse in the morning when they cough. A non-contrast CT scan of the chest reveals a 2 cm nodule in the upper lobe of the left lung near the left main bronchus, prompting further testing to rule out malignancy. The individual is surprised by this news as they have never experienced alarming symptoms. The doctor explains that lung cancers don’t usually present with symptoms until late in the course of the disease and that it may take several years before it becomes severe enough to cause symptoms. Therefore, individuals with risk factors for developing lung cancer are screened at an earlier age than the general public. Which concept is being described by the doctor to this individual?","The concept being described by the doctor is **""lead time bias.""** 

Lead time bias occurs when early detection of a disease (such as through screening) is confused with an improvement in survival. Essentially, finding a disease earlier (as through screening) may appear to increase the time a patient survives after diagnosis, without necessarily changing the eventual outcome of the disease. In the context of lung cancer, early screening in individuals with risk factors, such as a history of smoking, can detect the disease before symptoms manifest. However, this does not necessarily mean that the overall prognosis is improved; it just means the diagnosis is made earlier in the disease course. 

The doctor is emphasizing the importance of screening in individuals at high risk (e.g., long-term smokers) to detect potential malignancy earlier than it would be detected based on symptoms alone. This is intended to increase the chances of earlier intervention and potentially better outcomes, even though the early detection itself does not equate to a cure or extended life span without effective treatment.",Latent period,No
9,"An individual comes to the clinic complaining of headache and sinus drainage for the past 13 days. They report cold-like symptoms 2 weeks ago that progressively got worse. The patient endorses subjective fever, congestion, sinus headache, cough, and chills. They claim that this is their 5th episode within the past year and are concerned if “there’s something else going on.” Their medical history is significant for asthma that is adequately controlled with an albuterol inhaler. Their laboratory findings are shown below:

Serum:
Hemoglobin: 16.2 g/dL
Hematocrit: 39 %
Leukocyte count: 7,890/mm^3 with normal differential
Platelet count: 200,000/mm^3
IgA: 54 mg/dL (Normal: 76-390 mg/dL)
IgE: 0 IU/mL (Normal: 0-380 IU/mL)
IgG: 470 mg/dL (Normal: 650-1500 mg/dL)
IgM: 29 mg/dL (Normal: 40-345 mg/dL)

What is the most likely diagnosis?","The patient's presentation, which includes recurrent sinus infections, despite controlled asthma, and their laboratory findings, particularly the low levels of immunoglobulins (IgG, IgA, and IgM), suggest an underlying immunodeficiency. The most likely diagnosis given this context is Common Variable Immunodeficiency (CVID).

CVID is characterized by markedly reduced levels of serum immunoglobulins (IgG, IgA, and/or IgM) and an increased susceptibility to infections, especially sinopulmonary infections. The absence of other causes of hypogammaglobulinemia and the patient's history of frequent infections further supports this diagnosis.

Key points from the patient's presentation that support CVID include:
1. **Recurrent sinus infections**: The patient reports 5 episodes in the past year.
2. **Laboratory findings**:
   - **IgG**: 470 mg/dL (Normal: 650-1500 mg/dL) - significantly low
   - **IgA**: 54 mg/dL (Normal: 76-390 mg/dL) - low
   - **IgM**: 29 mg/dL (Normal: 40-345 mg/dL) - low

Given the recurrent infections and the reduction in serum immunoglobulin levels, CVID is the most likely diagnosis. The next steps would include a thorough clinical evaluation to rule out other secondary causes of hypogammaglobulinemia, possibly genetic testing, and referral to an immunologist for further management. Treatment often involves immunoglobulin replacement therapy to reduce the frequency and severity of infections.",Common variable immunodeficiency,Yes
