Index,Question,Response
0,"During a humanitarian mission to southeast Asia, a 42-year-old man is brought to the outpatient clinic for a long history (greater than 2 years) of progressive, painless, enlargement of his scrotum. The family history is negative for malignancies and inheritable diseases. The personal history is relevant for cigarette smoking (up to 2 packs per day for the last 20 years) and several medical consultations for an episodic fever that resolved spontaneously. The physical examination is unremarkable, except for an enlarged left hemiscrotum that transilluminates. Which of the following accounts for the underlying mechanism in this patient's condition?","The patient's history of a painless, progressive enlargement of the scrotum that transilluminates, along with episodic fever, points strongly towards a condition known as lymphatic filariasis, specifically hydrocele. This condition is commonly caused by the parasitic worm *Wuchereria bancrofti*, which is transmitted by mosquitoes. 

The underlying mechanism involves the following process:

1. **Infection and Immunological Response**: The *Wuchereria bancrofti* parasite is introduced into the bloodstream through a mosquito bite. The larvae migrate and develop into adult worms, which inhabit the lymphatic system.

2. **Lymphatic Obstruction**: The adult worms cause the lymphatic vessels to become obstructed due to inflammatory reactions, which leads to the lymphatic dysfunction.

3. **Lymphatic Fluid Accumulation**: This obstruction eventually results in the accumulation of lymphatic fluid in the scrotal sac, leading to a condition known as hydrocele (accumulation of fluid around the testes).

4. **Transillumination**: In physical examinations, the fluid in hydrocele typically transilluminates, meaning light can pass through it, differentiating it from solid masses such as tumors. 

Given the patient's geographic location in Southeast Asia, personal history, and clinical presentation, it is highly suggestive that he is suffering from lymphatic filariasis leading to hydrocele due to obstruction of the lymphatic vessels by the worm infestation.

Therefore, the underlying mechanism is **""Obstruction of lymphatic vessels""** caused by chronic infection with the filarial worm *Wuchereria bancrofti*."
1,"A 27-year-old G1P1001 is recovering in the postpartum unit three days after a Caesarean section. Her surgery was indicated for breech presentation of the infant. She was at 40 weeks and 2 days gestation at the time of delivery. The patient is now complaining of purulent discharge and continued heavy bleeding. She also notes difficulty and discomfort with urination. The patient’s prenatal course was complicated by one episode of pyelonephritis, which was treated with intravenous ceftriaxone and suppression nitrofurantoin for the remainder of the pregnancy. The patient has a medical history of generalized anxiety disorder and atopic dermatitis. On the third postpartum day, her temperature is 101.2°F (38.4°C), pulse is 112/min, blood pressure is 118/71 mmHg, and respirations are 13/min. Exam reveals that she is uncomfortable and diaphoretic. Her lochia is purulent with several blood clots, and her uterus is slightly boggy and soft. There is mild tenderness with uterine manipulation. Which of the following is the best next step in management for this patient's condition?","Based on the information provided, the patient is showing signs of postpartum infection, likely endometritis, following a Caesarean section. Postpartum endometritis is a common cause of fever and uterine tenderness post-Caesarean delivery and is often associated with purulent lochia and an elevated white blood cell count.

Key points suggesting postpartum endometritis in this case include:
- Fever (101.2°F)
- Uterine tenderness
- Purulent lochia
- History of recent Caesarean section
- Tachycardia (pulse 112/min)

Given these findings, the best next step in managing this patient is to initiate broad-spectrum intravenous antibiotic therapy. The typical regimen includes clindamycin and gentamicin or alternatively, a combination of ampicillin, gentamicin, and metronidazole, depending on local antibiograms and patient allergies. This combination covers a wide range of pathogens, including anaerobes, aerobes, and atypical bacteria commonly implicated in postpartum infections.

Additional steps, such as blood cultures and a complete blood count, may help to confirm the diagnosis and assess the severity of the infection. However, the initiation of antibiotics should not be delayed while awaiting results.

So, the best next step in management for this patient's condition is:

#### Initiate broad-spectrum intravenous antibiotic therapy (such as clindamycin and gentamicin)."
2,"A previously healthy 19-year-old man is brought to the emergency department by his girlfriend after briefly losing consciousness. He passed out while moving furniture into her apartment. She said that he was unresponsive for a minute but regained consciousness and was not confused. The patient did not have any chest pain, palpitations, or difficulty breathing before or after the episode. He has had episodes of dizziness when exercising at the gym. His blood pressure is 125/75 mm Hg while supine and 120/70 mm Hg while standing. Pulse is 70/min while supine and 75/min while standing. On examination, there is a grade 3/6 systolic murmur at the left lower sternal border and a systolic murmur at the apex, both of which disappear with passive leg elevation. Which of the following is the most likely cause?","The most likely cause of this patient's symptoms is **hypertrophic cardiomyopathy (HCM)**. HCM is characterized by abnormal thickening of the heart muscle, which can obstruct blood flow and lead to symptoms such as syncope (fainting), dizziness, and sometimes sudden cardiac death, particularly in young individuals.

Key findings that support this diagnosis in this patient include:

1. **Syncope**: The patient had a brief loss of consciousness without confusion upon regaining consciousness. This can be related to outflow obstruction or arrhythmias caused by the hypertrophied myocardium.
2. **Murmur**: The presence of a systolic murmur at the left lower sternal border and at the apex. These murmurs are consistent with the outflow tract obstruction often seen in HCM. The fact that the murmur increases with maneuvers that reduce preload (like standing) and decreases with maneuvers that increase preload (like passive leg elevation) is characteristic of HCM.
3. **Dizziness with exertion**: This is a common symptom in HCM due to the dynamic nature of the outflow obstruction, which can become more pronounced during physical activity.

For further evaluation, an echocardiogram would be necessary to confirm the diagnosis of hypertrophic cardiomyopathy, as it can visualize the thickened myocardial walls and assess the degree of outflow obstruction.

Management of HCM often involves medications to reduce the burden of symptoms and sometimes interventions like septal myectomy or alcohol septal ablation in severe cases. Avoidance of competitive sports and rigorous physical activity is typically recommended due to the risk of sudden cardiac death in these patients."
3,"A 27-year-old woman presents for a checkup. She is 20 weeks pregnant and has been admitted to the hospital multiple times during her pregnancy for seizures. She has a known seizure disorder but discontinued her valproic acid when she became pregnant. The patient's past medical history is otherwise unremarkable. She does not smoke, drink alcohol, or use any drugs. She generally prefers not to take medications and sees a shaman for her care typically. Given her recent hospitalization, the patient agrees to start carbamazepine. Which of the following is the most appropriate treatment for this patient at this time?","The most appropriate treatment for this pregnant patient with a known seizure disorder who has been experiencing multiple seizures after discontinuing her medication would involve several critical considerations:

1. **Resuming Antiepileptic Medication**: It is essential to control her seizures to ensure her safety and the safety of the fetus. Carbamazepine is a reasonable choice as it has a relatively better safety profile in pregnancy compared to valproic acid, which is known to have higher teratogenic risks (such as neural tube defects). However, **Levetiracetam** and **Lamotrigine** are often considered first-line agents during pregnancy due to their better safety profiles.

2. **Folic Acid Supplementation**: Since antiepileptic drugs (AEDs) can interfere with folate metabolism, and because pregnancy increases folic acid requirements, it is recommended that she take a higher dose of folic acid (4-5 mg daily) to help reduce the risk of neural tube defects.

3. **Prenatal Care**: Close monitoring by her obstetrician, preferably with experience in managing high-risk pregnancies, should continue. This will include routine prenatal visits and potentially more frequent ultrasound examinations to monitor fetal development and detect any anomalies early.

4. **Seizure Monitoring**: Regular follow-up with her neurologist or epilepsy specialist is critical for monitoring her condition and adjusting medication as necessary. Regular blood tests to monitor AED levels and ensure therapeutic and safe levels is also advised.

5. **Patient Education and Counseling**: Education about the importance of medication adherence to prevent seizures and enhance maternal and fetal health is crucial. Discussing the potential risks and benefits, reproductive health counseling, and providing psychosocial support will be important.

Given these considerations, the most appropriate initial steps for treating this patient include:

1. **Initiating carbamazepine** (as the patient agrees to it, although levetiracetam or lamotrigine might be considered if she is open to alternatives with potentially better safety profiles in pregnancy).
2. **Begin folic acid supplementation** at a higher dose (4-5 mg daily).

In conclusion, the immediate focus should be on restarting an appropriate antiepileptic medication (carbamazepine) and initiating high-dose folic acid supplementation to address seizure control and reduce the risk of congenital malformations. Regular follow-ups with her healthcare providers are essential to monitor her health and that of her unborn child."
4,"A 45-year-old woman presents to her primary care physician for an annual checkup. She states that she feels well and has no complaints. She lives alone and works as a banker. She smokes 1 cigarette per day and drinks 2 alcoholic beverages per night. She occasionally gets symmetrical pain in her hands where they change from red to white to blue then return to normal again. Her temperature is 98.7°F (37.1°C), blood pressure is 177/118 mmHg, pulse is 82/min, respirations are 15/min, and oxygen saturation is 99% on room air. The patient's hypertension is treated, and she returns 2 weeks later complaining of weight gain in her legs and arms. On exam, bilateral edema is noted in her extremities. Which of the following is the best next step in management?","The symptoms described by the patient alongside her history raise the concern for a systemic condition. The symmetrical pain in the hands where they change color (red to white to blue) suggests Raynaud's phenomenon, which can be seen in connective tissue diseases like scleroderma, systemic lupus erythematosus (SLE), or rheumatoid arthritis.

Additionally, the considerable hypertension (177/118 mmHg), and the recent development of bilateral edema in her extremities are concerning symptoms that warrant further investigation. Given the presence of these systemic findings, the next step in management would be a thorough laboratory workup to identify underlying causes that could explain these symptoms.

The best next steps in management include ordering tests such as:
- **Renal function tests (e.g., serum creatinine, blood urea nitrogen)**
- **Urinalysis (to check for proteinuria or urinary sediment)**
- **Autoimmune workup (e.g., ANA, anti-dsDNA, anti-Sm antibodies, anti-centromere, anti-Scl-70)**
- **Echocardiogram (to assess for heart failure, given the bilateral edema)**
- **24-hour urinary cortisol (if Cushing's syndrome is suspected)**
- **BNP or NT-proBNP (to assess for heart failure)**

Given the described features, particularly Raynaud's phenomenon along with significant hypertension and new-onset peripheral edema, an **autoimmune screen starting with an ANA (antinuclear antibody test)** would be a good specific next step. If the ANA is positive, additional specific antibodies could be tested based on the preliminary findings.

It could be beneficial to pursue simultaneous renal function testing and urinalysis to evaluate secondary causes of hypertension and to rule out any renal pathology, given the edema.

Therefore, the best next step in management would be:
- **Order an ANA test to screen for autoimmune diseases**
- **Assess renal function and perform a urinalysis to evaluate kidney function and any potential renal involvement**"
5,"A 42-year-old man comes to the physician because of a 6-month history of progressively worsening shortness of breath with exertion. He was diagnosed with systemic sclerosis 5 years ago. Vital signs are within normal limits. Physical examination shows puffy, taut skin over the fingers. Pulmonary examination is unremarkable. There is no jugular venous distention. An x-ray of the chest shows enlargement of the pulmonary vessels and a prominent right heart border. Cardiac catheterization shows elevated right ventricular pressures and a mean pulmonary artery pressure of 55 mm Hg. Treatment with tadalafil is begun. The expected beneficial effect of this drug is most likely due to which of the following actions?","Tadalafil is a phosphodiesterase-5 (PDE-5) inhibitor. The beneficial effects of this drug in the context of the patient's condition, which appears to be pulmonary arterial hypertension (PAH) secondary to systemic sclerosis, are due to its action on the nitric oxide (NO) signaling pathway. Specifically, tadalafil works by inhibiting the enzyme phosphodiesterase-5, leading to increased levels of cyclic guanosine monophosphate (cGMP). 

The increase in cGMP causes relaxation of the smooth muscle cells in the pulmonary vasculature, leading to vasodilation and a reduction in pulmonary vascular resistance. Consequently, this reduces the elevated pulmonary arterial pressure and improves blood flow, which alleviates symptoms such as shortness of breath with exertion.

Thus, the expected beneficial effect of tadalafil in this patient is most likely due to **""decreased degradation of cyclic guanosine monophosphate (cGMP).""**

The effects of PDE-5 inhibition include:
1. **Pulmonary Vasodilation**: Reduced pulmonary arterial pressure leads to improved right ventricular function.
2. **Improved Exercise Capacity**: By lowering pulmonary resistance, maximum oxygen uptake during exertion is enhanced.

Though systemic sclerosis presents with diverse complications, the specific intervention with tadalafil targets pulmonary arterial hypertension, a common and serious complication."
6,"A 17-year-old is brought to his primary care provider by his mother. They are concerned that his acne is getting worse and may leave scars. They have tried several over the counter products without success. He is otherwise healthy and without complaint. The boy was born at 39 weeks gestation via spontaneous vaginal delivery. He is up to date on all vaccines with some delay in reaching developmental milestones, especially in language development. He is having trouble with school and has a history of detentions for misbehavior and acting out. On examination, he stands 6 ft 3 inches tall, considerably taller than either parent or other family members with inflamed pustular acne on his face, shoulders, and chest. He is otherwise healthy. Which of the following karyotypes is most likely associated with this patient’s clinical features?","The patient presenting with severe acne, height that is considerably taller than his family members, some developmental delays (particularly in language), and trouble with school behavior, raises the suspicion of Klinefelter syndrome (47,XXY karyotype).

Klinefelter syndrome is a genetic condition that affects males. It results from the presence of an extra X chromosome. Males with Klinefelter syndrome have the karyotype 47,XXY. Common features of Klinefelter syndrome include tall stature, learning difficulties, and sometimes difficulties with behavior. Additionally, males with Klinefelter syndrome may also develop more severe acne, likely due to hormone imbalances.

Therefore, the most likely karyotype associated with this patient’s clinical features is:

**47,XXY**"
7,"A 72-year-old man presents to his primary care physician with progressively worsening hearing loss. He states that his trouble with hearing began approximately 7-8 years ago. He is able to hear when someone is speaking to him; however, he has difficulty with understanding what is being said, especially when there is background noise. In addition to his current symptoms, he reports a steady ringing in both ears, and at times experiences dizziness. Medical history is significant for three prior episodes of acute otitis media. Family history is notable for his father being diagnosed with cholesteatoma. His temperature is 98.6°F (37°C), blood pressure is 138/88 mmHg, pulse is 14/min, and respirations are 13/min. On physical exam, when a tuning fork is placed in the middle of the patient's forehead, sound is appreciated equally on both ears. When a tuning fork is placed by the external auditory canal and subsequently on the mastoid process, air conduction is greater than bone conduction. Which of the following is most likely the cause of this patient's symptoms?","The patient's symptoms of progressively worsening hearing loss, difficulty understanding speech especially in the presence of background noise, ringing in both ears (tinnitus), and occasional dizziness, along with the results of the physical examination, suggest a diagnosis of **presbycusis**.

**Presbycusis** is the most common cause of sensorineural hearing loss in older adults. It is characterized by a gradual, progressive loss of hearing, particularly affecting the higher frequencies, which makes it especially difficult to understand speech in noisy environments. The presence of tinnitus and occasional dizziness can also be associated with age-related changes in the auditory system.

The Weber test, which involves placing a tuning fork in the middle of the forehead, showed that sound is appreciated equally in both ears, indicating no lateralization. This result is typical in either normal hearing or symmetrical sensorineural hearing loss. The Rinne test, which compares air conduction to bone conduction, showed that air conduction is greater than bone conduction (Rinne positive), consistent with normal hearing or sensorineural hearing loss, rather than conductive hearing loss.

The patient's medical history of acute otitis media and family history of cholesteatoma are noted but do not directly correlate with the symmetrical sensorineural hearing loss observed on examination.

In summary, presbycusis, or age-related hearing loss, is the most likely cause of the patient's symptoms given the clinical context, physical examination findings, and the patient's age."
8,"A 68-year-old man presents to the office for his annual physical examination. He has no current complaints. Past medical history is unremarkable. He reports a 30-pack-year smoking history but no alcohol or drug use. Review of systems is only remarkable for thicker mucous production that is worse in the morning when he coughs. A non-contrast CT scan of his chest is performed, and the doctor informs him that a 2 cm nodule has been identified in his upper lobe of the left lung near the left main bronchus and that further testing is required to rule out malignancy. The patient is surprised by this news since he has never experienced any alarming symptoms. The doctor informs him that lung cancers don’t usually present with symptoms until late in the course of the disease. The doctor says that sometimes it may take several years before it becomes severe enough to cause symptoms, which is why patients with risk factors for developing lung cancer are screened at an earlier age than the general public. Which of the following concepts is being described by the doctor to this patient?","The concept being described by the doctor to the patient is the **“lead-time bias”**.

Lead-time bias occurs when early detection of a disease (such as through screening) is mistaken for increased survival, without actually affecting the course of the disease. What happens is that the disease is identified earlier than it would have been through regular clinical diagnosis, but the endpoint (death or severe outcome) remains unchanged. This means the patient appears to have a longer survival time simply because the disease was diagnosed earlier, not because they actually lived longer due to better disease management or outcome.

In this case, the doctor is explaining to the patient that lung cancers often do not present symptoms until they are advanced and that early screening can detect the cancer before symptoms appear. This earlier detection can make it seem like patients live longer from the time of diagnosis, even though the overall prognosis and survival might not significantly change. By identifying high-risk individuals (like smokers with a significant smoking history) and screening them earlier, there's a chance of catching the disease at a more treatable stage, but it also means dealing with the concept of lead-time bias."
9,"A 24-year-old woman comes to the clinic complaining of headache and sinus drainage for the past 13 days. She reports cold-like symptoms 2 weeks ago that progressively got worse. The patient endorses subjective fever, congestion, sinus headache, cough, and chills. She claims that this is her 5th episode within the past year and is concerned if “there’s something else going on.” Her medical history is significant for asthma that is adequately controlled with her albuterol inhaler. Her laboratory findings are shown below:

Serum:
Hemoglobin: 16.2 g/dL
Hematocrit: 39 %
Leukocyte count: 7,890/mm^3 with normal differential
Platelet count: 200,000/mm^3
IgA: 54 mg/dL (Normal: 76-390 mg/dL)
IgE: 0 IU/mL (Normal: 0-380 IU/mL)
IgG: 470 mg/dL (Normal: 650-1500 mg/dL)
IgM: 29 mg/dL (Normal: 40-345 mg/dL)

What is the most likely diagnosis?","The most likely diagnosis in this case is Common Variable Immunodeficiency (CVID). This diagnosis is suggested by the patient's clinical presentation of recurrent sinus infections and the laboratory findings, which show hypogammaglobulinemia (low levels of IgA, IgG, and IgM). The patient has low levels of the major immunoglobulins, with particularly significant reductions in IgG and IgA.

Common Variable Immunodeficiency is a primary immunodeficiency characterized by low levels of serum immunoglobulins and an increased susceptibility to infections, particularly bacterial infections of the respiratory and gastrointestinal tracts. Patients with CVID often present with recurrent sinusitis, bronchitis, and pneumonia, similar to this patient's history of recurrent sinus infections over the past year.

Given her history and the specific laboratory abnormalities, further evaluation by an immunologist for detailed immunologic work-up and management would be appropriate. Treatment often involves immunoglobulin replacement therapy to reduce the frequency and severity of infections."
