Index,Question,Response
0,"During a humanitarian mission to Southeast Asia, an individual is brought to the outpatient clinic for a long history (greater than 2 years) of progressive, painless enlargement of the scrotum. The family history is negative for malignancies and inheritable diseases. The personal history is relevant for cigarette smoking (up to 2 packs per day for the last 20 years) and several medical consultations for an episodic fever that resolved spontaneously. The physical examination is unremarkable, except for an enlarged left hemiscrotum that transilluminates. Which of the following accounts for the underlying mechanism in this condition?","The patient’s long-standing history of progressive, painless scrotal enlargement combined with the unremarkable physical examination aside from the transilluminating left hemiscrotum suggests a diagnosis of hydrocele. Given the geographical context of southeast Asia and the chronic nature of the condition, the underlying mechanism is likely filariasis.

Filariasis is a parasitic disease caused by infection with roundworms of the Filariodidea type, most commonly Wuchereria bancrofti, Brugia malayi, and Brugia timori. These worms are transmitted to humans through mosquito bites and can cause lymphatic filariasis, which can lead to chronic lymphedema and hydrocele. The parasitic infection often remains asymptomatic for years while the worms live in the lymphatic system, causing gradual damage and leading to the accumulation of lymphatic fluid in the scrotum.

Thus, the most likely underlying mechanism of this patient's condition is:

**Blockage of lymphatic vessels by parasitic infection (Lymphatic Filariasis).**

This mechanism accounts for the progressive nature of the scrotal enlargement and the episodic fevers that occur as the body reacts to the dying microfilariae or secondary bacterial infection."
1,"A person recovering in the postpartum unit three days after a Caesarean section is experiencing purulent discharge, heavy bleeding, and discomfort during urination. The Caesarean section was performed at 40 weeks and 2 days gestation due to a breech presentation. The individual had an episode of pyelonephritis during pregnancy, treated with intravenous ceftriaxone and suppression nitrofurantoin. Their medical history includes generalized anxiety disorder and atopic dermatitis. On the third postpartum day, the individual’s temperature is 101.2°F (38.4°C), pulse is 112/min, blood pressure is 118/71 mmHg, and respirations are 13/min. Examination shows discomfort, diaphoresis, purulent lochia with blood clots, a slightly boggy and soft uterus, and mild tenderness with uterine manipulation. What is the best next step in managing this condition?","Given the clinical scenario described—a postpartum individual with signs of infection (fever, purulent lochia, heavy bleeding, and uterine tenderness)—the best next step in managing this condition is to start broad-spectrum antibiotics immediately. The presentation is concerning for postpartum endometritis, which is a commonly encountered infection following delivery, especially after a Cesarean section.

### Postpartum Endometritis Management:
1. **Broad-Spectrum Antibiotics:**
    - The treatment typically includes a combination such as clindamycin plus gentamicin or ampicillin-sulbactam, which provides coverage against the polymicrobial organisms typically responsible for this infection (including anaerobes, aerobes, and Gram-negative bacteria).

2. **Supportive care:**
    - Ensure adequate hydration.
    - Monitor vital signs and clinical status closely.
    - Provide pain relief and antipyretics as needed.

3. **Additional Measures:**
    - Thorough evaluation for possible retained products of conception or other sources of bleeding may be warranted if there is no improvement with initial antibiotic therapy. An ultrasound may be helpful in this regard.
    - Assess for other potential sources of infection and consider culturing the uterine discharge to tailor antibiotic therapy if necessary.

Given the patient's history of pyelonephritis treated during pregnancy, it would be prudent to also consider a concurrent urinary tract infection (UTI) and possibly pyelonephritis if symptoms suggestive of these conditions are present. Given the difficulty with urination and risk factors, urinalysis and urine culture should be performed, and if UTI/pyelonephritis is suspected, empiric antibiotics adjusted accordingly might be warranted.

To summarize, the immediate initiation of broad-spectrum antibiotics is the most critical step, followed by supportive care and further evaluation."
2,"A previously healthy individual is brought to the emergency department by a companion after briefly losing consciousness. They passed out while moving furniture into the companion's apartment. The companion said that the individual was unresponsive for a minute but regained consciousness and was not confused. The patient did not have any chest pain, palpitations, or difficulty breathing before or after the episode. They have had episodes of dizziness when exercising at the gym. Blood pressure is 125/75 mm Hg while supine and 120/70 mm Hg while standing. Pulse is 70/min while supine and 75/min while standing. On examination, there is a grade 3/6 systolic murmur at the left lower sternal border and a systolic murmur at the apex, both of which disappear with passive leg elevation. Which of the following is the most likely cause?","The presentation of a previously healthy individual with a brief loss of consciousness (syncope) during physical exertion, along with a characteristic systolic murmur that disappears with passive leg elevation, is suggestive of hypertrophic obstructive cardiomyopathy (HOCM).

Here’s a detailed walkthrough of the key clinical features in the scenario that support this diagnosis:

1. **Syncope During Exertion**: Syncope during physical activity is a hallmark symptom of HOCM. It occurs due to dynamic obstruction of the left ventricle outflow tract.

2. **Dizziness with Exercise**: Pre-existing symptoms like dizziness during exercise also point toward a cardiovascular cause, supporting the diagnosis of HOCM.

3. **Murmur Characteristics**:
    - The **grade 3/6 systolic murmur** at the left lower sternal border and at the apex is typical in HOCM due to the outflow tract obstruction.
    - The murmur **disappears with passive leg elevation**, a maneuver that increases preload, effectively reducing the obstruction caused by the hypertrophied septum, thus diminishing the murmur. This is characteristic of the dynamic nature of the murmur in HOCM.

4. **Vital Signs**: The patient’s vital signs, including blood pressure and pulse, do not show significant changes upon standing, which is less suggestive of orthostatic hypotension. These observations help in focusing on the structural heart disease, like HOCM, as a more probable cause.

Given the symptoms, physical exam findings, and maneuvers affecting the murmur, the most likely diagnosis is hypertrophic obstructive cardiomyopathy (HOCM). This condition involves abnormal thickening of the heart muscle, particularly the interventricular septum, leading to dynamic obstruction of blood flow from the left ventricle to the aorta during systole and potentially causing the noted symptoms and murmur.

Hence, the most likely cause of this patient's condition is **hypertrophic obstructive cardiomyopathy**."
3,"An individual presents for a checkup and is 20 weeks pregnant, having been admitted to the hospital multiple times during the pregnancy for seizures. They have a known seizure disorder but discontinued valproic acid upon becoming pregnant. The past medical history is otherwise unremarkable. The patient does not smoke, drink alcohol, or use any drugs. They generally prefer not to take medications and typically see a shaman for care. Given the recent hospitalization, the patient agrees to start carbamazepine. Which of the following is the most appropriate treatment for this patient at this time?","In managing a pregnant patient with a known seizure disorder who has had multiple hospital admissions for seizures and has agreed to start on carbamazepine, the following treatment considerations are important:

1. **Carbamazepine Initiation**: Starting carbamazepine is a reasonable step. It is crucial to initiate it at an appropriate dose and monitor serum levels to maintain them within the therapeutic range. Carbamazepine is considered relatively safer in pregnancy compared to valproic acid, although it is not without risks.

2. **Folic Acid Supplementation**: It is essential to prescribe high-dose folic acid (1-4 mg daily) to reduce the risk of neural tube defects, which can be associated with antiepileptic drugs (AEDs). This should ideally be continued before conception and throughout pregnancy.

3. **Monitoring and Follow-up**:
   - Regular prenatal visits with close monitoring of seizure control and potential side effects of carbamazepine.
   - Frequent monitoring of carbamazepine levels may be needed due to changes in drug metabolism during pregnancy.

4. **Vitamin K Supplementation in the Third Trimester**: Given that carbamazepine can induce hepatic enzymes and potentially lead to decreased levels of vitamin K-dependent clotting factors in the newborn, vitamin K (10 mg orally daily) is typically recommended during the last month of pregnancy to reduce the risk of neonatal hemorrhagic disease.

5. **Discussion of Risks and Benefits**: The patient should be counseled about the risks and benefits of AED use during pregnancy. This includes discussing potential teratogenic effects and the importance of seizure control for both maternal and fetal health.

6. **Collaboration with Specialists**: Optimal management often requires a multidisciplinary approach, including coordination with a neurologist, obstetrician, and potentially a maternal-fetal medicine specialist.

Given the situation described, the most comprehensive and appropriate approach includes initiating carbamazepine with associated folic acid supplementation and later third-trimester vitamin K supplementation. Providing education and careful monitoring is also critical.

In summary, for this patient, the most appropriate treatment is **starting carbamazepine with concurrent folic acid supplementation and later vitamin K supplementation in the third trimester**."
4,"A person presents to their primary care physician for an annual checkup. They state that they feel well and have no complaints. They live alone and work as a banker. They smoke 1 cigarette per day and drink 2 alcoholic beverages per night. They occasionally experience symmetrical pain in their hands, where their hands change from red to white to blue then return to normal again. Their temperature is 98.7°F (37.1°C), blood pressure is 177/118 mmHg, pulse is 82/min, respirations are 15/min, and oxygen saturation is 99% on room air. The hypertension is treated, and they return 2 weeks later complaining of weight gain in their legs and arms. On exam, bilateral edema is noted in their extremities. Which of the following is the best next step in management?","Given the patient's presentation, it is important to address both the immediate concerns and underlying conditions that could lead to their symptoms.

1. **Blood Pressure Control**: The patient has significantly elevated blood pressure (177/118 mmHg). Despite being treated for hypertension, it's possible that their current regimen is not adequately controlling their blood pressure. It is essential to reassess their treatment plan:
   - Review and possibly adjust antihypertensive medication.
   - Ensure patient adherence to the prescribed treatment.
   - Suggest lifestyle modifications including diet, exercise, and reducing alcohol and smoking habits.

2. **Edema Evaluation**: The patient's new complaint of weight gain in the legs and arms, along with bilateral edema, is concerning. This suggests the possibility of fluid retention, which could be due to several causes, such as heart failure, renal failure, or venous insufficiency. Given the significant hypertension, heart failure must be ruled out:
   - Obtain a complete medical history focusing on other symptoms such as shortness of breath, chest pain, and fatigue.
   - Conduct further diagnostic tests, such as blood tests (including kidney function tests and BNP), a chest X-ray, and potentially an echocardiogram, to assess cardiac function.

3. **Raynaud's Phenomenon**: The occasional symmetrical pain and color changes in the patient's hands (red to white to blue) suggest Raynaud's phenomenon. This condition is often related to vascular issues and can be exacerbated by smoking. Management includes:
   - Advising the patient to keep their hands warm and avoid triggers such as cold exposure and smoking.
   - Considering a referral to a rheumatologist if an autoimmune cause is suspected or if symptoms worsen.

Given these points, the best next step in management would be to **conduct a comprehensive evaluation to identify the cause of the edema and reassess the blood pressure management plan**. Specifically, the appropriate immediate next steps would include:

1. **Reassess the hypertensive treatment regimen**: Increase the dose of current medications or add additional antihypertensive drugs if needed.
2. **Order diagnostic tests**: Specifically:
   - Basic metabolic panel (BMP) to check for kidney function.
   - B-type natriuretic peptide (BNP) level to screen for heart failure.
   - Electrocardiogram (ECG) and chest X-ray.
   - Consider an echocardiogram.

3. **Recommend lifestyle modifications** focusing on reducing smoking and alcohol consumption.

Addressing these aspects will help in managing the patient's symptoms and underlying conditions effectively."
5,"An individual comes to the physician because of a 6-month history of progressively worsening shortness of breath with exertion. They were diagnosed with systemic sclerosis 5 years ago. Vital signs are within normal limits. Physical examination shows puffy, taut skin over the fingers. Pulmonary examination is unremarkable. There is no jugular venous distention. An x-ray of the chest shows enlargement of the pulmonary vessels and a prominent right heart border. Cardiac catheterization shows elevated right ventricular pressures and a mean pulmonary artery pressure of 55 mm Hg. Treatment with tadalafil is begun. The expected beneficial effect of this drug is most likely due to which of the following actions?","The individual described has a history and clinical findings suggestive of pulmonary arterial hypertension (PAH), which is a common complication of systemic sclerosis. The chest x-ray findings of enlarged pulmonary vessels and a prominent right heart border, along with elevated right ventricular pressures and a mean pulmonary artery pressure of 55 mm Hg on cardiac catheterization, confirm the diagnosis of PAH.

Tadalafil is a phosphodiesterase type 5 (PDE-5) inhibitor. Its beneficial effect in treating PAH is due to its mechanism of increasing levels of cyclic guanosine monophosphate (cGMP). Here's a detailed explanation of how tadalafil works:

1. PDE-5 Inhibition: Tadalafil inhibits the enzyme phosphodiesterase type 5 (PDE-5), which is responsible for the breakdown of cGMP in the pulmonary vascular smooth muscle cells.

2. Increased cGMP Levels: By inhibiting PDE-5, tadalafil increases the levels of cGMP within the smooth muscle cells.

3. Vasodilation: Elevated cGMP leads to relaxation of the smooth muscles in the pulmonary arteries, causing vasodilation.

4. Reduced Pulmonary Pressure: The vasodilation of pulmonary arteries decreases pulmonary vascular resistance and helps lower the elevated pulmonary artery pressures.

Therefore, the expected beneficial effect of tadalafil in this patient with PAH is most likely due to its action of ""Increasing levels of cyclic guanosine monophosphate (cGMP)."" This reduces pulmonary vascular resistance and pulmonary artery pressure, thereby alleviating symptoms and improving exercise capacity and quality of life in patients with PAH."
6,"An individual is brought to their primary care provider by a parent. The concern is that their acne is getting worse and may leave scars. They have tried several over-the-counter products without success. The person is otherwise healthy and without complaint. They were born at 39 weeks gestation via spontaneous vaginal delivery and are up to date on all vaccines with some delay in reaching developmental milestones, especially in language development. They are having trouble with school and have a history of detentions for misbehavior and acting out. On examination, they stand 6 ft 3 inches tall, considerably taller than either parent or other family members, with inflamed pustular acne on their face, shoulders, and chest. They are otherwise healthy. Which of the following karyotypes is most likely associated with this individual's clinical features?","Given the clinical features, such as tall stature, developmental delays, difficulties in school, and significant acne, the patient's condition suggests a possible diagnosis of 47,XYY syndrome. This condition is characterized by the presence of an extra Y chromosome in males (karyotype 47,XYY).

### Key Features Suggestive of 47,XYY Syndrome:
1. **Tall Stature:** The patient stands 6 ft 3 inches tall, which is considerably taller than their parents and family members. Tall stature is a common feature in individuals with 47,XYY syndrome.
2. **Developmental Delays:** Especially in language development, which the patient has experienced.
3. **Behavioral Issues:** Trouble with school, history of detentions for misbehavior and acting out.
4. **Acne:** Individuals with 47,XYY syndrome are more likely to have severe acne.

Given these symptoms, the most likely karyotype associated with this patient's clinical features is **47,XYY**."
7,"An individual presents to their primary care physician with progressively worsening hearing loss. The trouble with hearing began approximately 7-8 years ago. They are able to hear when someone is speaking to them; however, they have difficulty with understanding what is being said, especially when there is background noise. In addition to their current symptoms, they report a steady ringing in both ears and occasionally experience dizziness. Their medical history includes three prior episodes of acute otitis media. Family history is notable for a parent being diagnosed with cholesteatoma. Temperature is 98.6°F (37°C), blood pressure is 138/88 mmHg, pulse is 14/min, and respirations are 13/min. On physical exam, when a tuning fork is placed in the middle of the person's forehead, sound is appreciated equally in both ears. When a tuning fork is placed by the external auditory canal and subsequently on the mastoid process, air conduction is greater than bone conduction. Which of the following is most likely the cause of this person's symptoms?","The presentation of progressive hearing loss over several years, difficulties in understanding speech especially with background noise, steady ringing in both ears (tinnitus), and occasional dizziness suggests a possible sensorineural hearing loss. Additionally, the results of the tuning fork tests—Weber and Rinne—are indicative of this type of hearing loss.

**Weber Test:** When the tuning fork is placed on the forehead and sound is appreciated equally in both ears, it suggests that there is no significant lateralization to either side, which often points towards either normal hearing or bilateral sensorineural hearing loss.

**Rinne Test:** The observation that air conduction (AC) is greater than bone conduction (BC) in both ears indicates a positive Rinne test, which is typically normal. However, in the context of hearing loss, a positive Rinne test can also indicate sensorineural hearing loss rather than conductive hearing loss.

Given these findings, the most likely cause of the patient's symptoms is **presbycusis**, which is age-related hearing loss:

- **Presbycusis** is a common type of sensorineural hearing loss that occurs gradually as individuals age.
- It typically affects the ability to hear higher frequency sounds first, leading to difficulty understanding speech, particularly in noisy environments.
- The steady ringing in the ears (tinnitus) and possible dizziness can also accompany this condition, although the dizziness might warrant further investigation to rule out other causes such as vestibular disorders.

To summarize, the patient’s presentation and examination findings are most consistent with **presbycusis** which is age-related and affects the inner ear or auditory pathways. The patient should be referred to an audiologist for a comprehensive hearing evaluation and appropriate management, which may include hearing aids or other assistive listening devices."
8,"An individual presents to the office for an annual physical examination with no current complaints and an unremarkable past medical history. This individual reports a 30-pack-year smoking history but no alcohol or drug use. Review of systems is notable for thicker mucous production that is worse in the morning when coughing. A non-contrast CT scan of the chest is performed, revealing a 2 cm nodule in the upper lobe of the left lung near the left main bronchus, necessitating further testing to rule out malignancy. The individual is surprised by this news, having never experienced any alarming symptoms. The doctor explains that lung cancers typically do not present with symptoms until the disease is at an advanced stage, often taking several years to cause noticeable symptoms. Consequently, individuals with risk factors for lung cancer are screened earlier than the general population. Which concept is the doctor describing to this patient?","The doctor is explaining two important concepts to the patient:

1. **Screening and Early Detection**: The doctor is emphasizing the importance of screening in at-risk populations—such as individuals with a significant smoking history—to identify potential lung cancers at an earlier and more treatable stage before symptoms appear. This is because lung cancer often remains asymptomatic until it is advanced.

2. **Natural History of Lung Cancer**: The doctor is also describing the natural history of lung cancer, including the concept of tumor doubling time and the fact that lung cancers can grow slowly and remain asymptomatic for a long period. This explains why the patient, despite having a significant smoking history, has not experienced concerning symptoms.

The underlying principle here is **early detection through screening**, especially in high-risk individuals like long-term smokers. This approach increases the chances of diagnosing lung cancer at a stage when it is more likely to be treatable and potentially curable. This also stresses the significance of silent progression in lung cancer, highlighting the necessity for vigilance and regular screening in susceptible populations."
9,"An individual comes to the clinic complaining of headache and sinus drainage for the past 13 days. They report cold-like symptoms 2 weeks ago that progressively got worse. The patient endorses subjective fever, congestion, sinus headache, cough, and chills. They claim that this is the 5th episode within the past year and are concerned if “there’s something else going on.” Their medical history is significant for asthma that is adequately controlled with an albuterol inhaler. Their laboratory findings are shown below:

Serum:
Hemoglobin: 16.2 g/dL
Hematocrit: 39 %
Leukocyte count: 7,890/mm^3 with normal differential
Platelet count: 200,000/mm^3
IgA: 54 mg/dL (Normal: 76-390 mg/dL)
IgE: 0 IU/mL (Normal: 0-380 IU/mL)
IgG: 470 mg/dL (Normal: 650-1500 mg/dL)
IgM: 29 mg/dL (Normal: 40-345 mg/dL)

What is the most likely diagnosis?","The most likely diagnosis for this patient is **Common Variable Immunodeficiency (CVID)**. CVID is characterized by low levels of two or more serum immunoglobulins (IgG, IgA, and/or IgM) and an increased frequency of infections. 

Key clinical findings in this case that support CVID include:
1. **Recurrent Infections:** The patient has had multiple episodes of sinusitis (5 episodes within the past year).
2. **Symptoms of Infection:** Current symptoms consistent with a sinus infection include headache, sinus drainage, fever, congestion, sinus headache, cough, and chills.
3. **Reduced Immunoglobulin Levels:** Laboratory findings show low levels of IgA (54 mg/dL), IgG (470 mg/dL), and IgM (29 mg/dL).

Given the combination of recurrent infections and significantly reduced levels of multiple immunoglobulins, CVID is the most likely diagnosis. CVID often presents with recurrent respiratory infections, and the history of controlled asthma does not explain the recurrent infections and low immunoglobulin levels.

For confirmation and further management, referral to an immunologist for more detailed testing and possibly immunoglobulin replacement therapy would be appropriate."
