Index,Question,Response,Answer,Accuracy
0,"Yo, so this 42-year-old dude on a mission in southeast Asia has had his nuts gradually getting bigger and it's been going on for over 2 years now. His fam doesn't have a history of cancer or inheritable diseases. He smokes about 2 packs a day for 20 years and has had some fevers that went away on their own. The doc checked him out and everything seems normal except for his left ball being larger and glowing when you shine light through it. What's causing this dude's swollen ball situation?","*1* The most likely cause for this dude's swollen ball situation is testicular cancer. The gradual enlargement of one testicle, especially with the presence of a mass that appears to glow when light is shined through it, is highly indicative of testicular cancer. 
*2* Another possible cause could be a hydrocele, which is a buildup of fluid around the testicle that can cause swelling. However, the glowing appearance when light is shined through the testicle makes this less likely. 
*3* The smoking history and the presence of fevers that resolved on their own could also point towards a possible infection, such as epididymitis. However, the persistent swelling over 2 years and the glowing appearance of the testicle make testicular cancer a more likely explanation.",Decreased lymphatic fluid absorption,Relevant
1,"Yo, so you just had a C-section three days ago and now you're dealing with some funky discharge and still bleeding a lot? Plus, it's hurting when you pee? You also had a bad kidney infection during your pregnancy and you have a history of anxiety and skin issues. Your temperature is a bit high, your pulse is fast, and you're feeling sweaty. Your postpartum situation is definitely not the best right now. What should we do next to help you out?","1. You should seek immediate medical attention. Given the symptoms of funky discharge, heavy bleeding, pain when urinating, history of kidney infection, high temperature, fast pulse, and feeling sweaty, it is essential to consult a healthcare provider as soon as possible.

2. It is important to mention your history of kidney infections and anxiety to the healthcare provider, as these factors may contribute to the current symptoms and treatment plan.

3. In the meantime, try to stay hydrated and rest as much as possible while awaiting medical evaluation.",Clindamycin and gentamicin,Inaccurate.
2,"Yo, this 19-year-old guy fainted while helping his girl move furniture and she freaked out. His blood pressure is all normal, but he's been feeling dizzy at the gym. The doc heard some heart murmurs that go away when his legs are up. What could be causing all this?","*1* The most plausible explanation for the fainting, dizziness, and heart murmur that improve with elevation of the legs is a condition called orthostatic hypotension. This occurs when there is a sudden drop in blood pressure when standing up from a lying or sitting position, leading to symptoms such as dizziness and fainting.

*2* Another possible cause could be a heart condition such as mitral valve prolapse, where the valve between the upper and lower chambers of the left side of the heart does not close properly, leading to abnormal blood flow and heart murmurs. This condition can sometimes lead to symptoms such as dizziness and fainting.

*3* Lastly, the symptoms could also be attributed to dehydration or electrolyte imbalances, which can occur during intense physical activity like moving furniture or working out at the gym. These imbalances can affect blood pressure regulation and lead to symptoms such as dizziness and fainting.",Hypertrophic cardiomyopathy,Relevant
3,"Yo, so this 27-year-old chick is 20 weeks pregnant and has had seizures a few times already during her pregnancy. She used to take valproic acid for her seizures but stopped when she got pregnant. She ain't into meds much and usually sees a shaman for her health stuff. After being in the hospital recently, she's cool with starting carbamazepine. What's the best move for treating her right now?","*1* 1. **Urgent initiation of carbamazepine**: Carbamazepine is generally considered safer than valproic acid during pregnancy, as valproic acid is known to have teratogenic effects. It can be effective in controlling seizures without posing as high a risk to the fetus.
  
*2* 2. **Regular monitoring of drug levels and fetal well-being**: Since this pregnant woman has a history of seizures and is now starting a new medication, it is important to monitor both the levels of the drug in her system to ensure efficacy and prevent toxicity, as well as monitor the well-being of the fetus to ensure the medication is not causing harm.
  
*3* 3. **Consider additional non-pharmacological therapies**: Given the patient's preferences for non-medical treatments, it may be beneficial to explore and incorporate complementary therapies such as acupuncture or mindfulness techniques to help manage her seizures alongside the carbamazepine, under the guidance of her healthcare provider.",Folate,Inaccurate
4,"Hey, so this woman's got some swelling in her legs and arms after being treated for high blood pressure. What's the next move the doc should make to help her out?","*1* The doctor should assess for signs of fluid overload or congestive heart failure, as these conditions can manifest as swelling in the arms and legs. Adjusting her high blood pressure medication regimen may be necessary.

*2* The doctor should check for any signs of drug-induced edema caused by the high blood pressure medication. Switching to a different medication or adjusting the dosage may be needed to alleviate the swelling.

*3* The doctor may also consider evaluating for side effects of other medications the patient may be taking that could be contributing to the swelling in her arms and legs.",Lisinopril,Relevant.
5,"Yo, this 42-year-old dude has been havin' a hard time catchin' his breath when he's gettin' his sweat on for the past 6 months. He's got systemic sclerosis diagnosed 5 years back. The doctor saw his pulse and all is cool. His skin on his fingers is lookin' puffy and tight. Lungs seem fine during the checkup. No weird veins poppin' out of his neck. Chest x-ray showed big blood vessels in the lungs and a fat right side of the heart. Heart test showed high pressure in the right ventricle and a mean lung artery pressure of 55 mm Hg. They started him on tadalafil meds. Why is this drug gonna help him out the most?","1. The patient is most likely experiencing pulmonary hypertension due to systemic sclerosis. Tadalafil is a medication that belongs to a class called phosphodiesterase-5 (PDE-5) inhibitors. It works by dilating the blood vessels in the lungs and decreasing the workload of the heart by reducing pulmonary artery pressure. This helps in improving exercise capacity and symptoms in patients with pulmonary hypertension.

2. Tadalafil can also help in improving symptoms related to erectile dysfunction, which can be common in patients with systemic sclerosis.

3. Tadalafil may have a vasodilatory effect on other blood vessels in the body, potentially providing some relief from symptoms related to Raynaud's phenomenon, a condition commonly associated with systemic sclerosis.",Enhanced activity of nitric oxide,Relevant
6,"Yo, so this 17-year-old dude keeps getting gnarly acne that won't budge no matter what his mom tries. They're worried it'll scar his face up. He's healthy otherwise, just struggling in school and always getting into trouble. And get this - he's a giant, way taller than his fam. His skin's all inflamed with zits on his face, shoulders, and chest. Could you tell me which karyotype matches up with all this?","1. Klinefelter syndrome (47, XXY) - This genetic condition is characterized by the presence of an extra X chromosome in males, leading to various physical and developmental symptoms, including tall stature, gynecomastia (enlarged breast tissue), and acne.
2. Turner syndrome (45, X) - This genetic disorder affects females and is characterized by the absence of one X chromosome. Symptoms can include short stature, webbed neck, and puffiness in the hands and feet. While acne is not a common symptom, it can occur in individuals with Turner syndrome.
3. Normal male karyotype (46, XY) - Without any specific genetic abnormality, acne in adolescents, especially in the described areas, can be a common occurrence due to hormonal changes during puberty. However, the presence of acne alone does not typically indicate a specific karyotype.",47 XYY,Relevant.
7,"Yo, so like this dude is 72 and he's been having a hard time hearing, especially when there's mad noise around. He also has this ringing in his ears and gets dizzy sometimes. Dude had like 3 ear infections in the past and his pops had cholesteatoma. When they put a tuning fork by his ear, air conduction was better than bone conduction. What's prob causing all this?","*1* The most likely cause of the symptoms described in this scenario is Meniere's disease, a condition characterized by episodes of vertigo, hearing loss, tinnitus (ringing in the ears), and a feeling of fullness in the affected ear. Meniere's disease commonly affects individuals between the ages of 40 and 60, but cases have been reported in older individuals as well. The presence of a family history of ear issues (such as cholesteatoma in the father) can also be a risk factor. The tuning fork test confirmed sensorineural hearing loss, which is characteristic of Meniere's disease.

*2* Another possible cause could be otosclerosis, a condition where abnormal bone growth in the middle ear can lead to hearing loss. Otosclerosis is more common in young to middle-aged adults, however, it can also affect older individuals. The tuning fork test showing air conduction better than bone conduction could be indicative of conductive hearing loss associated with otosclerosis.

*3* Chronic suppurative otitis media could also be a potential cause given the history of recurrent ear infections. This condition is characterized by persistent ear discharge, hearing loss, and possible damage to the middle ear structures. However, the presence of vertigo and tinnitus in this case makes Meniere's disease a more likely explanation.",Cochlear hair cell degeneration,Relevant
8,"Yo, so you're saying that this dude found out about a 2 cm nodule in his lung during a check-up and didn't even feel anything weird before that? And the doctor is telling him that lung cancers can be sneaky and not cause symptoms until they've already done some damage? Sounds wild. What's the doctor trying to explain to this guy here?","1. The doctor is likely trying to explain to the person that some lung cancers can be asymptomatic in the early stages, and by the time symptoms do appear, the cancer may have already advanced.

2. The doctor may also be trying to convey that lung nodules are common incidental findings on imaging tests and are often benign, but further evaluation is needed to rule out malignancy.

3. The doctor may mention that early detection of lung cancer through routine screenings or incidental findings like lung nodules can improve treatment outcomes and prognosis.",Latent period,Relevant
9,"Hey there! So, based on this situation, what do you think is the most likely diagnosis for this 24-year-old woman? 🤔",I'd be happy to help! Could you please provide me with the details of the situation for the 24-year-old woman?,Common variable immunodeficiency,inaccurate
